YEAR,RACE,TRACK,DISTANCE,WINNER,TRAINER,JOCKEY,COUNTRY,,,,,,,,,
1776,ST LEGER,DONCASTER,2921,Allabaculla,Christopher Scaife,John Singleton,ENGLAND,,,,,,,,,
1777,ST LEGER,DONCASTER,2921,Bourbon,,John Cade,ENGLAND,,,,,,,,,
1778,ST LEGER,DONCASTER,2921,Hollandoise,Joseph Rose,George Herring,ENGLAND,,,,,,,,,
1779,EPSOM OAKS,EPSOM,2420,Bridget,Saunders,Dick Goodisson,ENGLAND,,,,,,,,,
1779,ST LEGER,DONCASTER,2921,Tommy,Joseph Rose,George Lowry,ENGLAND,,,,,,,,,
1780,EPSOM DERBY,EPSOM,2420,Diomed,R Teasdale,Sam Arnull,ENGLAND,,,,,,,,,
1780,EPSOM OAKS,EPSOM,2420,Tetotum,,Dick Goodisson,ENGLAND,,,,,,,,,
1780,ST LEGER,DONCASTER,2921,Ruler,,John Mangle,ENGLAND,,,,,,,,,
1781,EPSOM DERBY,EPSOM,2420,Young Eclipse,,Charles Hiindley,ENGLAND,,,,,,,,,
1781,EPSOM OAKS,EPSOM,2420,Faith,John Pratt,Dick Goodisson,ENGLAND,,,,,,,,,
1781,ST LEGER,DONCASTER,2921,Serina,J Lowther,Richard Foster,ENGLAND,,,,,,,,,
1782,EPSOM DERBY,EPSOM,2420,Assassin,Frank Neale,Sam Arnull,ENGLAND,,,,,,,,,
1782,EPSOM OAKS,EPSOM,2420,Ceres,John Pratt,Sam Chifney,ENGLAND,,,,,,,,,
1782,ST LEGER,DONCASTER,2921,Imperatrix,George Searle,George Searle,ENGLAND,,,,,,,,,
1783,EPSOM DERBY,EPSOM,2420,Saltram,Frank Neale,Charles Hiindley,ENGLAND,,,,,,,,,
1783,EPSOM OAKS,EPSOM,2420,Maid of the Oaks,John Pratt,Sam Chifney,ENGLAND,,,,,,,,,
1783,ST LEGER,DONCASTER,2921,Phoenomenon,Isaac Cape,Anthony Hall,ENGLAND,,,,,,,,,
1784,EPSOM DERBY,EPSOM,2420,Serjeant,,John Arnull,ENGLAND,,,,,,,,,
1784,EPSOM OAKS,EPSOM,2420,Stella,,Charles Hindley,ENGLAND,,,,,,,,,
1784,ST LEGER,DONCASTER,2921,Omphale,M Mason,John Kirton,ENGLAND,,,,,,,,,
1785,EPSOM DERBY,EPSOM,2420,Aimwell,John Pratt,Charles Hiindley,ENGLAND,,,,,,,,,
1785,EPSOM OAKS,EPSOM,2420,Trifle,John Pratt,J Bird,ENGLAND,,,,,,,,,
1785,ST LEGER,DONCASTER,2921,Cowslip,George Searle,George Searle,ENGLAND,,,,,,,,,
1786,EPSOM DERBY,EPSOM,2420,Noble,Frank Neale,John White,ENGLAND,,,,,,,,,
1786,EPSOM OAKS,EPSOM,2420,Yellow Filly,Richard Prince,James Edwards,ENGLAND,,,,,,,,,
1786,ST LEGER,DONCASTER,2921,Paragon,John Mangle,John Mangle,ENGLAND,,,,,,,,,
1787,EPSOM DERBY,EPSOM,2420,Sir Peter Teazle,Saunders,Sam Arnull,ENGLAND,,,,,,,,,
1787,EPSOM OAKS,EPSOM,2420,Annette,J Watson,Dennis Fitzpatrick,ENGLAND,,,,,,,,,
1787,ST LEGER,DONCASTER,2921,Spadille,John Mangle,John Mangle,ENGLAND,,,,,,,,,
1788,EPSOM DERBY,EPSOM,2420,Sir Thomas,Frank Neale,William South,ENGLAND,,,,,,,,,
1788,EPSOM OAKS,EPSOM,2420,Nightshade,Frank Neale,Dennis Fitzpatrick,ENGLAND,,,,,,,,,
1788,ST LEGER,DONCASTER,2921,Young Flora,John Mangle,John Mangle,ENGLAND,,,,,,,,,
1789,EPSOM DERBY,EPSOM,2420,Skyscraper,Matt Stephenson,Sam Chifney,ENGLAND,,,,,,,,,
1789,EPSOM OAKS,EPSOM,2420,Tag,Frank Neale,Sam Chifney,ENGLAND,,,,,,,,,
1789,ST LEGER,DONCASTER,2921,Pewett,Christopher Scaife,William Wilson,ENGLAND,,,,,,,,,
1790,EPSOM DERBY,EPSOM,2420,Rhadamanthus,John Pratt,John Arnull,ENGLAND,,,,,,,,,
1790,EPSOM OAKS,EPSOM,2420,Hippolyta,Matt Stephenson,Sam Chifney,ENGLAND,,,,,,,,,
1790,ST LEGER,DONCASTER,2921,Ambidexter,George Searle,George Searle,ENGLAND,,,,,,,,,
1791,EPSOM DERBY,EPSOM,2420,Eager,Matt Stephenson,Matt Stephenson,ENGLAND,,,,,,,,,
1791,EPSOM OAKS,EPSOM,2420,Portia,Matt Stephenson,John Singleton Jnr,ENGLAND,,,,,,,,,
1791,ST LEGER,DONCASTER,2921,Young Traveller,John Hutchinson,John Jackson,ENGLAND,,,,,,,,,
1792,EPSOM DERBY,EPSOM,2420,John Bull,John Pratt,John Arnull,ENGLAND,,,,,,,,,
1792,EPSOM OAKS,EPSOM,2420,Volante,John Pratt,Charles Hindley,ENGLAND,,,,,,,,,
1792,ST LEGER,DONCASTER,2921,Tartar,John Mangle,John Mangle,ENGLAND,,,,,,,,,
1793,EPSOM DERBY,EPSOM,2420,Waxy,Robert Robson,Bill Clift,ENGLAND,,,,,,,,,
1793,EPSOM OAKS,EPSOM,2420,Caelia,Matt Stephenson,John Singleton Jnr,ENGLAND,,,,,,,,,
1793,ST LEGER,DONCASTER,2921,Ninety-three,,Bill Peirse,ENGLAND,,,,,,,,,
1794,EPSOM DERBY,EPSOM,2420,Daedalus,John Pratt,Frank Buckle,ENGLAND,,,,,,,,,
1794,EPSOM OAKS,EPSOM,2420,Hermione,Saunders,Sam Arnull,ENGLAND,,,,,,,,,
1794,ST LEGER,DONCASTER,2921,Beningbrough,John Hutchinson,John Jackson,ENGLAND,,,,,,,,,
1795,EPSOM DERBY,EPSOM,2420,Spread Eagle,Richard Prince,Anthony Wheatley,ENGLAND,,,,,,,,,
1795,EPSOM OAKS,EPSOM,2420,Platina,Frank Neale,Dennis Fitzpatrick,ENGLAND,,,,,,,,,
1795,ST LEGER,DONCASTER,2921,Hambletonian,John Hutchinson,Dixon Boyce,ENGLAND,,,,,,,,,
1796,EPSOM DERBY,EPSOM,2420,Didelot,Richard Prince,John Arnull,ENGLAND,,,,,,,,,
1796,EPSOM OAKS,EPSOM,2420,Parisot,Richard Prince,John Arnull,ENGLAND,,,,,,,,,
1796,ST LEGER,DONCASTER,2921,Ambrosio,Frank Neale,John Jackson,ENGLAND,,,,,,,,,
1797,EPSOM DERBY,EPSOM,2420,Colt By Fidget,Matt Stephenson,John Singleton Jnr,ENGLAND,,,,,,,,,
1797,EPSOM OAKS,EPSOM,2420,Nike,John Pratt,Frank Buckle,ENGLAND,,,,,,,,,
1797,ST LEGER,DONCASTER,2921,Lounger,George Searle,John Shepherd,ENGLAND,,,,,,,,,
1798,EPSOM DERBY,EPSOM,2420,Sir Harry,Frank Neale,Sam Arnull,ENGLAND,,,,,,,,,
