Track,Date,Race Name, Position, Starters, Weight, Distance, Horse,MARG,SP,GRADE,Jockey,Trainer
BELMONT,7/8/2010,BELMONT NEWMARKET,1,10,53,1200,Casper Cowboy,0.3,$8 ,LR,William Pike,David Harrison
BELMONT,7/8/2010,BELMONT NEWMARKET,2,10,53,1200,Shock Value,0.3,$6 ,LR,Jason Brown,Jim P Taylor
BELMONT,7/8/2010,BELMONT NEWMARKET,3,10,57.5,1200,Dante's Volonte,1.8,$21 ,LR,Peter Knuckey,Simon Barrass
BELMONT,7/8/2010,BELMONT NEWMARKET,4,10,53,1200,Moonlight Drive,1.9,$14 ,LR,Shaun McGruddy,Trevor Andrews
BELMONT,7/8/2010,BELMONT NEWMARKET,5,10,56,1200,For Your Eyes Only,3,$2F,LR,Troy Turner,Paul Jordan
BELMONT,7/8/2010,BELMONT NEWMARKET,6,10,53,1200,Black in Time,3.5,$16 ,LR,Jessica Hill,Jim P Taylor
BELMONT,7/8/2010,BELMONT NEWMARKET,7,10,56.5,1200,Vizard,4.5,$41 ,LR,Steven Parnham,George Daly
BELMONT,7/8/2010,BELMONT NEWMARKET,8,10,53,1200,Kens Double,4.8,$14 ,LR,Jarrad Noske,Neville Parnham
BELMONT,7/8/2010,BELMONT NEWMARKET,9,10,54.5,1200,Spitfire Ace,4.8,$14 ,LR,Paul King,Darren Mc Auliffe
BELMONT,7/8/2010,BELMONT NEWMARKET,10,10,58,1200,Glory Hunter,7.8,$31 ,LR,Alan Kennedy,Graeme Hammarquist
FLEMINGTON,7/8/2010,AURIE'S STAR HANDICAP,1,11,53,1200,Elusive Touch,0.2,$3.80F,G3,Stephen Baster,Mark Kavanagh
FLEMINGTON,7/8/2010,AURIE'S STAR HANDICAP,2,11,54,1200,Leica Larrikin,0.2,$41 ,G3,Mathew Cahill,Richard Freyer
FLEMINGTON,7/8/2010,AURIE'S STAR HANDICAP,3,11,54,1200,Beltrois,3,$8 ,G3,Glen Boss,Robbie Griffiths
FLEMINGTON,7/8/2010,AURIE'S STAR HANDICAP,4,11,57.5,1200,Royal Ida,3,$10 ,G3,Brad Rawiller,Luke Oliver
FLEMINGTON,7/8/2010,AURIE'S STAR HANDICAP,5,11,55.5,1200,Headway,3.3,$5 ,G3,Damien Oliver,Peter G Moody
FLEMINGTON,7/8/2010,AURIE'S STAR HANDICAP,6,11,53,1200,Spacecraft,3.4,$10 ,G3,Craig Newitt,Mick Price
FLEMINGTON,7/8/2010,AURIE'S STAR HANDICAP,6,11,53.5,1200,Uxorious,3.4,$16 ,G3,Nicholas Hall,Matthew Williams
FLEMINGTON,7/8/2010,AURIE'S STAR HANDICAP,8,11,53,1200,The Handsome One,4.1,$11 ,G3,Dale Smith,Greg Eurell
FLEMINGTON,7/8/2010,AURIE'S STAR HANDICAP,9,11,53.5,1200,Grand Duels,4.4,$11 ,G3,Craig Williams,Byron Cozamanis
FLEMINGTON,7/8/2010,AURIE'S STAR HANDICAP,10,11,53,1200,Viking Turf Belle,7.4,$26 ,G3,Ben Melham,Jason Warren
FLEMINGTON,7/8/2010,AURIE'S STAR HANDICAP,11,11,53,1200,Cheronbutch,7.5,$26 ,G3,Chris Symons,Peter Healey
RANDWICK,7/8/2010,MISSILE STAKES,1,9,58.5,1200,Love Conquers All,1.5,$1.75F,G3,Jim Cassidy,Team Hawkes
RANDWICK,7/8/2010,MISSILE STAKES,2,9,58.5,1200,Danleigh,1.5,$3.70 ,G3,Hugh Bowman,Chris Waller
RANDWICK,7/8/2010,MISSILE STAKES,3,9,58.5,1200,Sniper's Bullet,3.5,$10 ,G3,Blake Shinn,Tracey Bartley
RANDWICK,7/8/2010,MISSILE STAKES,4,9,58.5,1200,Prince Braeman,4.1,$21 ,G3,Tommy Berry,Paul Perry
RANDWICK,7/8/2010,MISSILE STAKES,5,9,56.5,1200,Spirited One,5,$41 ,G3,Stathi Katsidis,John P Thompson
RANDWICK,7/8/2010,MISSILE STAKES,6,9,58.5,1200,Cannonball (USA),6.1,$21 ,G3,Glyn Schofield,Gai Waterhouse
RANDWICK,7/8/2010,MISSILE STAKES,7,9,58.5,1200,Sainthood,7.4,$15 ,G3,Rod Quinn,Rick Worthington
RANDWICK,7/8/2010,MISSILE STAKES,8,9,58.5,1200,Sophistication,11,$91 ,G3,Peter Robl,Joseph Pride
RANDWICK,7/8/2010,MISSILE STAKES,9,9,58.5,1200,Newport,17.8,$201 ,G3,Tim Clark,Paul Perry
RANDWICK,7/8/2010,SAN DOMENICO STAKES,1,7,52,1000,Obsequious,1,$9 ,G3,Tim Clark,Peter Snowden
RANDWICK,7/8/2010,SAN DOMENICO STAKES,2,7,54.5,1000,Solar Charged,1,$1.85F,G3,Corey Brown,John O'Shea
RANDWICK,7/8/2010,SAN DOMENICO STAKES,3,7,56,1000,Decision Time,3.3,$4.20 ,G3,Stathi Katsidis,Clarry Conners
RANDWICK,7/8/2010,SAN DOMENICO STAKES,4,7,56,1000,Spirit of Boom,3.8,$14 ,G3,Jim Cassidy,Tony Gollan
RANDWICK,7/8/2010,SAN DOMENICO STAKES,5,7,57,1000,Brightexpectations,5.9,$9 ,G3,Glyn Schofield,Gai Waterhouse
RANDWICK,7/8/2010,SAN DOMENICO STAKES,6,7,54,1000,Renewed Vitality,6.6,$91 ,G3,Brenton Avdulla,John P Thompson
RANDWICK,7/8/2010,SAN DOMENICO STAKES,7,7,54,1000,Butt I'm Ready,6.7,$51 ,G3,Peter Robl,Gary Portelli
CAULFIELD,14/8/2010,COCKRAM STAKES,1,16,53,1200,Rhythm in Paris,1.3,$11 ,G3,Ben Melham,Jason Warren
CAULFIELD,14/8/2010,COCKRAM STAKES,2,16,56.5,1200,Response,1.3,$9 ,G3,Craig Williams,Mathew Ellerton & Simon Zahra
CAULFIELD,14/8/2010,COCKRAM STAKES,3,16,56.5,1200,Lady Lynette,1.4,$4.40F,G3,Nicholas Hall,Robert Smerdon
CAULFIELD,14/8/2010,COCKRAM STAKES,4,16,54,1200,No Evidence Needed,2.6,$10 ,G3,Stathi Katsidis,John P Thompson
CAULFIELD,14/8/2010,COCKRAM STAKES,5,16,56.5,1200,Irish Lights,2.8,$7.50 ,G3,Steven Arnold,David Hayes
CAULFIELD,14/8/2010,COCKRAM STAKES,6,16,54,1200,Das Machen,3.5,$12 ,G3,Dale Smith,Mick Price
CAULFIELD,14/8/2010,COCKRAM STAKES,7,16,54,1200,Valentine Miss,5.8,$9 ,G3,Damien Oliver,Mark Kavanagh
CAULFIELD,14/8/2010,COCKRAM STAKES,8,16,54,1200,Big Spirit,7.3,$26 ,G3,Craig Newitt,Rick Hore-Lacy
CAULFIELD,14/8/2010,COCKRAM STAKES,9,16,54,1200,Ocean Challenger,7.8,$11 ,G3,Glen Boss,Darren Magro
CAULFIELD,14/8/2010,COCKRAM STAKES,10,16,53.5,1200,Sneaky Tsu,10.8,$81 ,G3,Brent Stanley,John Sadler
CAULFIELD,14/8/2010,COCKRAM STAKES,11,16,57.5,1200,My Emotion (NZ),10.9,$21 ,G3,Brad Rawiller,Michael Kent
CAULFIELD,14/8/2010,COCKRAM STAKES,12,16,53.5,1200,Take All of Me,11.7,$61 ,G3,Steven King,Bruce & Jean Purcell
CAULFIELD,14/8/2010,COCKRAM STAKES,13,16,53,1200,My Girl Helen,14.9,$81 ,G3,Jake Noonan,Pat & Chris Hyland
