Year,Player,Team
1982,Leigh Matthews,Hawthorn
1983,Terry Daniher,Essendon
1984,Russell Greene,Hawthorn
1985,Greg Williams,Geelong
1986,Paul Roos,Fitzroy
1987,Tony Lockett,St Kilda
1988,Gerard Healy,Sydney
1989,Tim Watson,Essendon
1990,Darren Millane,Collingwood
1991,Jim Stynes,Melbourne
1992,Jason Dunstall,Hawthorn
1993,Gary Ablett Sr.,Geelong
1994,Greg Williams,Carlton
1995,Wayne Carey,North Melbourne
1996,Corey McKernan,North Melbourne
1997,Robert Harvey,St Kilda
1998,Wayne Carey,North Melbourne
1999,Shane Crawford,Hawthorn
2000,Anthony Koutoufides,Carlton
2001,Andrew McLeod,Adelaide
2002,Luke Darcy,Western Bulldogs
2002,Michael Voss,Brisbane Lions
2003,Michael Voss,Brisbane Lions
2004,Nick Riewoldt,St Kilda
2005,Ben Cousins,West Coast
2006,Chris Judd,West Coast
2007,Gary Ablett Jr.,Geelong
2008,Gary Ablett Jr.,Geelong
2009,Gary Ablett Jr.,Geelong
2010,Dane Swan,Collingwood
2011,Chris Judd,Carlton
2012,Gary Ablett Jr.,Gold Coast
2013,Gary Ablett Jr.,Gold Coast
2014,Nat Fyfe,Fremantle
2015,Nat Fyfe,Fremantle
2016,Patrick Dangerfield,Geelong
2017,Dustin Martin,Richmond
2018,Tom Mitchell,Hawthorn
2019,Patrick Cripps,Carlton
2020,Lachie Neale,Brisbane Lions
2021,Marcus Bontempelli,Western Bulldogs
2022,Andrew Brayshaw,Fremantle
2023,Marcus Bontempelli,Western Bulldogs
2024,Marcus Bontempelli,Western Bulldogs
2025,Nick Daicos,Collingwood
