Year,Recipient,Club
1979,Wayne Harmes,Carlton
1980,Kevin Bartlett,Richmond
1981,Bruce Doull,Carlton
1982,Maurice Rioli,Richmond
1983,Colin Robertson,Hawthorn
1984,Billy Duckworth,Essendon
1985,Simon Madden,Essendon
1986,Gary Ayres,Hawthorn
1987,David Rhys-Jones,Carlton
1988,Gary Ayres,Hawthorn
1989,Gary Ablett Sr,Geelong
1990,Tony Shaw,Collingwood
1991,Paul Dear,Hawthorn
1992,Peter Matera,West Coast
1993,Michael Long,Essendon
1994,Dean Kemp,West Coast
1995,Greg Williams,Carlton
1996,Glenn Archer,North Melbourne
1997,Andrew McLeod,Adelaide
1998,Andrew McLeod ,Adelaide
1999,Shannon Grant,North Melbourne
2000,James Hird,Essendon
2001,Shaun Hart,Brisbane Lions
2002,Nathan Buckley,Collingwood
2003,Simon Black,Brisbane Lions
2004,Byron Pickett,Port Adelaide
2005,Chris Judd,West Coast
2006,Andrew Embley,West Coast
2007,Steve Johnson,Geelong
2008,Luke Hodge,Hawthorn
2009,Paul Chapman,Geelong
2010,Lenny Hayes,St Kilda
2010,Scott Pendlebury ,Collingwood (replay)
2011,Jimmy Bartel,Geelong
2012,Ryan O'Keefe,Sydney
2013,Brian Lake,Hawthorn
2014,Luke Hodge,Hawthorn
2015,Cyril Rioli,Hawthorn
2016,Jason Johannisen,Western Bulldogs
2017,Dustin Martin,Richmond
2018,Luke Shuey,West Coast
2019,Dustin Martin,Richmond
2020,Dustin Martin ,Richmond
2021,Christian Petracca,Melbourne
2022,Isaac Smith,Geelong
2023,Bobby Hill,Collingwood
2024,Will Ashcroft,Brisbane Lions
2025,Will Ashcroft,Brisbane Lions
