Year  ,Winner  ,Runner-up  ,Minor Premier
2025,Brisbane Lions,Geelong,Adelaide
2024,Brisbane Lions,Sydney,Sydney
2023,Collingwood,Brisbane Lions,Collingwood
2022,Geelong,Sydney,Geelong
2021,Melbourne,Western Bulldogs,Melbourne
2020,Richmond,Geelong,Port Adelaide
2019,Richmond,Greater Western Sydney,Geelong
2018,West Coast,Collingwood,Richmond
2017,Richmond,Adelaide,Adelaide
2016,Western Bulldogs,Sydney,Sydney
2015,Hawthorn,West Coast,Fremantle
2014,Hawthorn,Sydney,Sydney
2013,Hawthorn,Fremantle,Hawthorn
2012,Sydney,Hawthorn,Hawthorn
2011,Geelong,Collingwood,Collingwood
2010,Collingwood,St Kilda,Collingwood
2010,St Kilda,Collingwood,St Kilda
2009,Geelong,St Kilda,Geelong
2008,Hawthorn,Geelong,Geelong
2007,Geelong,Port Adelaide,West Coast
2006,West Coast,Sydney,Adelaide
2005,Sydney,West Coast,Port Adelaide
2004,Port Adelaide,Brisbane Lions,Port Adelaide
2003,Brisbane Lions,Collingwood,Port Adelaide
2002,Brisbane Lions,Collingwood,Essendon
2001,Brisbane Lions,Essendon,Essendon
2000,Essendon,Melbourne,Essendon
1999,Kangaroos,Carlton,North Melbourne
1998,Adelaide,North Melbourne,St Kilda
1997,Adelaide,St Kilda,Sydney
1996,North Melbourne,Sydney,Carlton
1995,Carlton,Geelong,West Coast
1994,West Coast,Geelong,Essendon
1993,Essendon,Carlton,Geelong
1992,West Coast,Geelong,West Coast
1991,Hawthorn,West Coast,Essendon
1990,Collingwood,Essendon,Hawthorn
1989,Hawthorn,Geelong,Hawthorn
1988,Hawthorn,Melbourne,Carlton
1987,Carlton,Hawthorn,Hawthorn
1986,Hawthorn,Carlton,Essendon
1985,Essendon,Hawthorn,Essendon
1984,Essendon,Hawthorn,North Melbourne
1983,Hawthorn,Essendon,Richmond
1982,Carlton,Richmond,Carlton
1981,Carlton,Collingwood,Geelong
1980,Richmond,Collingwood,Carlton
1979,Carlton,Collingwood,North Melbourne
1978,Hawthorn,North Melbourne,Collingwood
1977,North Melbourne,Collingwood,Carlton
1977,North Melbourne,Collingwood,Hawthorn
1976,Hawthorn,North Melbourne,Richmond
1975,North Melbourne,Hawthorn,Collingwood
1974,Richmond,North Melbourne,Carlton
1973,Richmond,Carlton,Hawthorn
1972,Carlton,Richmond,Collingwood
1971,Hawthorn,St Kilda,Collingwood
1970,Carlton,Collingwood,Essendon
1969,Richmond,Carlton,Richmond
1968,Carlton,Essendon,Collingwood
1967,Richmond,Geelong,St Kilda
1966,St Kilda,Collingwood,Melbourne
1965,Essendon,St Kilda,Hawthorn
1964,Melbourne,Collingwood,Essendon
1963,Geelong,Hawthorn,Hawthorn
1962,Essendon,Carlton,Melbourne
1961,Hawthorn,Footscray,Melbourne
1960,Melbourne,Collingwood,Melbourne
1959,Melbourne,Essendon,Melbourne
1958,Collingwood,Melbourne,Melbourne
1957,Melbourne,Essendon,Melbourne
1956,Melbourne,Collingwood,Geelong
1955,Melbourne,Collingwood,Geelong
1954,Footscray,Melbourne,Geelong
1953,Collingwood,Geelong,Geelong
1952,Geelong,Collingwood,Essendon
1951,Geelong,Essendon,North Melbourne
1950,Essendon,North Melbourne,Essendon
1949,Essendon,Carlton,Carlton
1948,Melbourne,Essendon,Essendon
1948,Melbourne,Essendon,South Melbourne
1947,Carlton,Essendon,Richmond
1946,Essendon,Melbourne,Richmond
1945,Carlton,South Melbourne,Essendon
1944,Fitzroy,Richmond,Carlton
1943,Richmond,Essendon,Melbourne
1942,Essendon,Richmond,Melbourne
1941,Melbourne,Essendon,Carlton
1940,Melbourne,Richmond,Geelong
1939,Melbourne,Collingwood,South Melbourne
1938,Carlton,Collingwood,South Melbourne
1937,Geelong,Collingwood,Richmond
1936,Collingwood,South Melbourne,Richmond
1935,Collingwood,South Melbourne,Carlton
1934,Richmond,South Melbourne,Geelong
1933,South Melbourne,Richmond,Collingwood
1932,Richmond,Carlton,Collingwood
1931,Geelong,Richmond,Collingwood
1930,Collingwood,Geelong,Collingwood
1929,Collingwood,Richmond,Collingwood
1928,Collingwood,Richmond,Geelong
1927,Collingwood,Richmond,Essendon
1926,Melbourne,Collingwood,Essendon
1925,Geelong,Collingwood,Collingwood
1924,Essendon,Richmond,Essendon
1923,Essendon,Fitzroy,Carlton
1922,Fitzroy,Collingwood,Richmond
1921,Richmond,Carlton,Collingwood
1920,Richmond,Collingwood,South Melbourne
1919,Collingwood,Richmond,Collingwood
1918,South Melbourne,Collingwood,Carlton
1917,Collingwood,Fitzroy,Collingwood
1916,Fitzroy,Carlton,Carlton
1915,Carlton,Collingwood,Fitzroy
1914,Carlton,South Melbourne,South Melbourne
1913,Fitzroy,St Kilda,Essendon
1912,Essendon,South Melbourne,Carlton
1911,Essendon,Collingwood,South Melbourne
1910,Collingwood,Carlton,Carlton
1909,South Melbourne,Carlton,Carlton
1908,Carlton,Essendon,Carlton
1907,Carlton,South Melbourne,Collingwood
1906,Carlton,Fitzroy,Fitzroy
1905,Fitzroy,Collingwood,Collingwood
1904,Fitzroy,Carlton,Collingwood
1903,Collingwood,Fitzroy,Geelong
1902,Collingwood,Essendon,Fitzroy
1901,Essendon,Collingwood,Fitzroy
1900,Melbourne,Fitzroy,Essendon
1899,Fitzroy,South Melbourne,Geelong
1898,Fitzroy,Essendon,
