Year, Player,Team,,,,,,,,,
2025,Murphy Reid  ,Fremantle,,,,,,,,,
2024,Ollie Dempsey  ,Geelong,,,,,,,,,
2023,Harry Sheezel  ,North Melbourne,,,,,,,,,
2022,Nick Daicos  ,Collingwood,,,,,,,,,
2021,Luke Jackson  ,Melbourne,,,,,,,,,
2020,Caleb Serong  ,Fremantle,,,,,,,,,
2019,Sam Walsh  ,Carlton Blues,,,,,,,,,
2018,Jaidyn Stephenson  ,Collingwood,,,,,,,,,
2017,Andrew McGrath  ,Essendon,,,,,,,,,
2016,Callum Mills  ,Sydney,,,,,,,,,
2015,Jesse Hogan  ,Melbourne,,,,,,,,,
2014,Lewis Taylor  ,Brisbane,,,,,,,,,
2013,Jaeger O'Meara  ,Gold Coast,,,,,,,,,
2012,Daniel Talia  ,Adelaide,,,,,,,,,
2011,Dyson Heppell  ,Essendon,,,,,,,,,
2010,Daniel Hannebery  ,Sydney,,,,,,,,,
2009,Daniel Rich  ,Brisbane,,,,,,,,,
2008,Rhys Palmer  ,Fremantle,,,,,,,,,
2007,Joel Selwood  ,Geelong,,,,,,,,,
2006,Danyle Pearce  ,Brisbane,,,,,,,,,
2005,Brett Deledio  ,Richmond,,,,,,,,,
2004,Jared Rivers  ,Melbourne,,,,,,,,,
2003,Sam Mitchell  ,Hawthorn,,,,,,,,,
2002,Nick Riewoldt  ,St Kilda,,,,,,,,,
2001,Justin Koschitzke  ,St Kilda,,,,,,,,,
2000,Paul Hasleby  ,Fremantle,,,,,,,,,
1999,Adam Goodes  ,Sydney,,,,,,,,,
1998,Byron Pickett  ,North Melbourne,,,,,,,,,
1997,Michael Wilson  ,Brisbane,,,,,,,,,
1996,Ben Cousins  ,West Coast,,,,,,,,,
1995,Nick Holland  ,Hawthorn,,,,,,,,,
1994,Chris Scott  ,Brisbane,,,,,,,,,
1993,Nathan Buckley  ,Brisbane,,,,,,,,,
