Player,Team
Alex Neal-Bullen,Adelaide
Archie Ludowyke,Adelaide
Ben Keays,Adelaide
Billy Dowling,Adelaide
Brayden Cook,Adelaide
Callum Ah Chee,Adelaide
Charlie Edwards,Adelaide
Chayce Jones,Adelaide
Daniel Curtin,Adelaide
Darcy Fogarty,Adelaide
Finnbar Maley,Adelaide
Hugh Bond,Adelaide
Hugo Hall-Kahan,Adelaide
Indy Cotton,Adelaide
Isaac Cumming,Adelaide
Izak Rankine,Adelaide
Jake Soligo,Adelaide
James Borlase,Adelaide
James Peatling,Adelaide
Jordan Dawson,Adelaide
Jordon Butts,Adelaide
Josh Rachele,Adelaide
Josh Worrell,Adelaide
Lachlan McAndrew,Adelaide
Lachlan Sholl,Adelaide
Luke Nankervis,Adelaide
Luke Pedlar,Adelaide
Mark Keane,Adelaide
Max Michalanney,Adelaide
Mitchell Hinge,Adelaide
Mitchell Marsh,Adelaide
Nick Murray,Adelaide
Oscar Ryan,Adelaide
Reilly O'Brien,Adelaide
Riley Thilthorpe,Adelaide
Rory Laird,Adelaide
Sam Berry,Adelaide
Sid Draper,Adelaide
Taylor Walker,Adelaide
Toby Murray,Adelaide
Tyler Welsh,Adelaide
Wayne Milera,Adelaide
Zac Taylor,Adelaide
Ben Murphy,Brisbane
Bruce Reville,Brisbane
Cam Rayner,Brisbane
Charlie Cameron,Brisbane
Cody Curtin,Brisbane
Conor McKenna,Brisbane
Daniel Annable,Brisbane
Darcy Fort,Brisbane
Darcy Gardiner,Brisbane
Darcy Wilmot,Brisbane
Darragh Joyce,Brisbane
Dayne Zorko,Brisbane
Eric Hipwood,Brisbane
Harris Andrews,Brisbane
Henry Smith,Brisbane
Hugh McCluggage,Brisbane
Jack Payne,Brisbane
James Tunstill,Brisbane
Jarrod Berry,Brisbane
Jaspa Fletcher,Brisbane
Josh Dunkley,Brisbane
Kai Lohmann,Brisbane
Keidean Coleman,Brisbane
Koby Evans,Brisbane
Lachie Neale,Brisbane
Levi Ashcroft,Brisbane
Lincoln McCarthy,Brisbane
Logan Morris,Brisbane
Luke Beecken,Brisbane
Luke Lloyd,Brisbane
Noah Answerth,Brisbane
Oscar Allen,Brisbane
Reece Torrent,Brisbane
Ryan Lester,Brisbane
Sam Draper,Brisbane
Sam Marshall,Brisbane
Shadeau Brain,Brisbane
Tai Hayes,Brisbane
Tom Doedee,Brisbane
Ty Gallop,Brisbane
Will Ashcroft,Brisbane
Will McLachlan,Brisbane
Zac Bailey,Brisbane
Zane Zakostelsky,Brisbane
Adam Cerra,Carlton
Adam Saad,Carlton
Ashton Moir,Carlton
Ben Ainsworth,Carlton
Ben Camporeale,Carlton
Billy Wilson,Carlton
Blake Acres,Carlton
Brodie Kemp,Carlton
Campbell Chesser,Carlton
Cooper Lord,Carlton
Flynn Young,Carlton
Francis Evans,Carlton
George Hewett,Carlton
Harry Charleson,Carlton
Harry Dean,Carlton
Harry McKay,Carlton
Harry O'Farrell,Carlton
Hudson O'Keeffe,Carlton
Jack Ison,Carlton
Jacob Weitering,Carlton
Jagga Smith,Carlton
Jesse Motlop,Carlton
Jordan Boyd,Carlton
Lachie Fogarty,Carlton
Lachlan Cowan,Carlton
Lewis Young,Carlton
Liam Reidy,Carlton
Lucas Camporeale,Carlton
Marc Pittonet,Carlton
Matt Duffy,Carlton
Matthew Carroll,Carlton
Matthew Cottrell,Carlton
Mitch McGovern,Carlton
Nic Newman,Carlton
Nick Haynes,Carlton
Oliver Florent,Carlton
Oliver Hollands,Carlton
Patrick Cripps,Carlton
Rob Monahan,Carlton
Sam Walsh,Carlton
Talor Byrne,Carlton
Wade Derksen,Carlton
Will Hayward,Carlton
Zac Williams,Carlton
Angus Anderson,Collingwood
Beau McCreery,Collingwood
Billy Frampton,Collingwood
Bobby Hill,Collingwood
Brayden Maynard,Collingwood
Charlie West,Collingwood
Dan Houston,Collingwood
Daniel McStay,Collingwood
