VENUE,DATE,RACE,FINISH,RUNNERS,WGT,DIST,HORSE,MARG,SP,JOCKEY,TRAINER,AGE,Sire,Dam
RANDWICK,4/10/1997,SPRING CHAMPION STAKES,1,8,55.5,2000,Tie The Knot,0.1,$2.25F,Darren Beadman,Guy Walter,3,Nassipour,Whisked
RANDWICK,4/10/1997,SPRING CHAMPION STAKES,2,8,55.5,2000,Brave Prince,0.1,7,Kevin Forrester,Sterling Smith,3,Kenmare,Bravery
RANDWICK,4/10/1997,SPRING CHAMPION STAKES,3,8,55.5,2000,El Mirada,2.1,2.75,Shane Dye,Bart Cummings,3,El Moxie,Gayle's Glance
RANDWICK,4/10/1997,SPRING CHAMPION STAKES,4,8,55.5,2000,Spying,2.3,21,Glen Boss,Bart Cummings,3,Danehill,Tale Of Intrigue
RANDWICK,4/10/1997,SPRING CHAMPION STAKES,5,8,55.5,2000,Prince Standaan,2.5,21,Mick Dittman,Pat Hyland,3,At Talaq,Miss Jubilee
RANDWICK,4/10/1997,SPRING CHAMPION STAKES,6,8,55.5,2000,Southbend,2.7,21,Chris Munce,John Morish,3,Integra,Looker
RANDWICK,4/10/1997,SPRING CHAMPION STAKES,7,8,55.5,2000,Pascadero,3.3,151,Jim Cassidy,Gordon Yorke,3,Red Anchor,Chantilly Bound
RANDWICK,4/10/1997,SPRING CHAMPION STAKES,8,8,55.5,2000,Mighty McCool,4.6,126,Brian York,Bill Mitchell,3,Blazing Sword,Be My Spirit
FLEMINGTON,1/11/1997,VRC DERBY,1,16,"55,5",2500,Second Coming,3,26,Greg Childs,Michael Moroney,3,Oak Ridge,Superior Miss
FLEMINGTON,1/11/1997,VRC DERBY,2,16,55.5,2500,Tie The Knot,3,$5EF,Darren Beadman,Guy Walter,3,Nassipour,Whisked
FLEMINGTON,1/11/1997,VRC DERBY,3,16,"55,6",2500,Kalastaire,5.5,11,Damien Oliver,Lee Freedman,3,Kala Dancer,Jaunty Lady
FLEMINGTON,1/11/1997,VRC DERBY,4,16,55.5,2500,Bohemiath,6,41,Darren Gauci,John Sadler,3,Umatilla,Gallorette
FLEMINGTON,1/11/1997,VRC DERBY,5,16,"55,7",2500,Gold Guru,7,6,Craig Williams,Leon MacDonald,3,Geiger Counter,Proud Hallo
FLEMINGTON,1/11/1997,VRC DERBY,6,16,55.5,2500,Schubert,10,10,Steven King,Peter Hayes,3,Salieri,Rossignol
FLEMINGTON,1/11/1997,VRC DERBY,7,16,"55,8",2500,Encounter,11.8,$5EF,Shane Dye,Clarry Conners,3,Tierce,Fancy Babe
FLEMINGTON,1/11/1997,VRC DERBY,8,16,55.5,2500,Brave Prince,12.3,6,Mick Dittman,Sterling Smith,3,Kenmare,Bravery
