Date,Race,Track,Winner,Margin,SP,Race Grade,Jockey,Trainer
1/1/1982,ATC January Cup,Randwick,Bianco Lady,1,$7 ,LR,Neville Voigt,Bob Thomsen
1/1/1982,Carrington Stakes,Randwick,Ubetido,1.3,$1.90F,LR,Wayne Harris,Brian Mayfield-Smith
1/1/1982,SAJC New Year's Gift,Morphettville,Without Peer,0.8,$5EF,LR,Alf Matthews,Colin Hayes
1/1/1982,TRC One Thousand Guineas,Hobart,Ormley Smoker,0.5,$15 ,LR,Garry Glover,
1/1/1982,Bagot Handicap,Flemington,Mironton Bay,3,$8 ,G3,Kevin Mitchell,Ray Hutchins
1/1/1982,Standish Handicap,Flemington,He's A Haze,0.1,$7 ,G3,Midge Didham,Ray Hutchins
1/1/1982,Perth Cup,Ascot,Magistrate,0.2,$4F,G1,Bob Skelton,Ian Steffart
1/1/1982,WATC Crystal Slipper Stakes,Ascot,Rare Flyer,3,$1.50F,LR,John Miller,Reg Rayment
2/1/1982,Tasmanian Stakes,Launceston,Hannekes Gentleman,0.5,$2.75 ,LR,L Lucas,Graeme McCulloch
2/1/1982,Lough Neagh Stakes,Doomben,Handsome Prince,0.2,$3.75 ,G3,Michael Pelling,Pat Duff
2/1/1982,The Gold Rush,Ascot,Latin Saint,0.3,$4 ,G3,Ian Albuino,Alan Hawke
2/1/1982,WATC R.J. Peters Stakes,Ascot,Sports Ruler,2.5,$2.40F,LR,Keith Watson,Bill Patten
9/1/1982,Imperial Stakes,Ascot,Hubon,1.3,$4.50 ,LR,Mark Sestich,
13/1/1982,Strickland Stakes,Ascot,Kiwi Bride,0.2,$6.50 ,G3,Mark Sestich,Reg Rayment
16/1/1982,Missile Stakes,Rosehill,Razor Sharp,1.8,$3.25 ,G3,Alan Scorse,Jim Johnstone
16/1/1982,Parramatta Cup,Rosehill,Powerful Prince (1977),2,$6 ,LR,Mark De Montfort,Tommy Smith
16/1/1982,BATC Cup,Doomben,Prize Lady,1.25,$11 ,LR,H Saunders,C McLelland
20/1/1982,Tasmanian Oaks,Launceston,Piquancy,1.3,$3 ,G3,Max Baker,Kel Chapman
23/1/1982,Tasmanian Derby,Hobart,Palomine,2.5,$1.30F,G3,Chris Barrett,Bruce Elkington
23/1/1982,TRC Tattersall's Plate,Hobart,Bencreato,5,$2.75 ,G3,Max Baker,Robbie Laing
27/1/1982,Elwick Stakes,Hobart,Lemon Sorbet,7,$1.30F,LR,Bill Goodwin,Cliff Fahler
27/1/1982,Hobart Cup,Hobart,Powerful Prince (1977),4,$2.75F,G3,Malcolm Johnston,Tommy Smith
30/1/1982,Challenge Stakes,Randwick,Razor Sharp,1,$3 ,G2,John Wade,Jim Johnstone
30/1/1982,Strutt Stakes,Hobart,Black Shiraz,3.5,$4 ,LR,L Lucas,
30/1/1982,Bob Hoysted Handicap,Flemington,Copperama,1.3,$4.50 ,LR,Wayne Treloar,Tommy Smith
30/1/1982,Scenic Blast Stakes,Belmont,Royal Cossack,0.3,$3.50 ,LR,S Miller,R Miller
1/2/1982,Australia Day Cup,Randwick,Bianco Lady,2.3,$2.65 ,LR,Neville Voigt,Bob Thomsen
1/2/1982,William Reid Stakes,Moonee Valley,Manikato,1.3,$1.65F,G2,Gary Willetts,Bob Hoysted
1/2/1982,WATC Australia Day Stakes,Belmont,Wool Zone (1977),1.8,$5 ,LR,Craig Wake,Allan Taylor
6/2/1982,Autumn Stakes,Sandown,Pure Of Heart,0.2,$3.25F,G3,Mick Mallyon,Colin Hayes
6/2/1982,Blue Diamond Preview (C&G),Sandown,Rancher,0.4,$1.33F,LR,Norm Waymouth,Charlie Waymouth
6/2/1982,Blue Diamond Preview (F),Sandown,Formal Invitation,0.1,$4.50F,LR,Mick Mallyon,Colin Hayes
6/2/1982,C.F. Orr Stakes,Sandown,Lawman,0.4,$3.25 ,G2,Roy Higgins,George Hanlon
6/2/1982,H.C. Nitschke Stakes,Morphettville,Lloyd's Pricilla,0.3,$1.90F,LR,John Letts,Bart Cummings
6/2/1982,R.N. Irwin Stakes,Morphettville,Galleon,3,$2.20 ,G2,Brent Thomson,Colin Hayes
6/2/1982,SAJC Breeders' Stakes,Morphettville,Lady Neelia,1,$7 ,G2,George Davies,Les Patterson
6/2/1982,ATC Cup,Canterbury,Farewell Chime,3,$2.65F,LR,John Marshall,Bart Cummings
6/2/1982,Southern Cross Stakes,Canterbury,Ubetido,0.2,$1.40F,LR,Peter Cook,Brian Mayfield-Smith
10/2/1982,Australasian Oaks,Morphettville,Rose Of Kingston,0.1,$1.90F,G1,Gary Willetts,Bob Hoysted
10/2/1982,Hawkesbury Gold Cup,Hawkesbury,Knight's Affair,0.3,$6 ,LR,Neil Campton,John Page
13/2/1982,Apollo Stakes,Randwick,Calm Joe,0.4,$5 ,G2,Malcolm Johnston,Cyril Kearns
13/2/1982,Arrowfield 3YO Sprint,Randwick,Best Western,1.3,$1.75F,G3,Larry Olsen,Bart Cummings
13/2/1982,Black Caviar Lightning,Flemington,He's A Haze,0.8,$17 ,G2,Midge Didham,Ray Hutchins
13/2/1982,Blamey Stakes,Flemington,Kip,1,$21 ,G2,Robert Heffernan,George Hanlon
13/2/1982,Spirit Of Boom Classic,Doomben,Peand,2,$9 ,LR,Gavan Duffy,Tommy Dawson
20/2/1982,Hellova Street Stakes,Launceston,Fiery Boy,0.3,$6 ,G3,Max Baker,Peter Fell
