year,position,driver_1,driver_2,constructor
1963,1,Harry Firth,Bob Jane,Ford Cortina GT
1963,2,Frank Morgan,Ralph Sach,Holden EH S4
1963,3,Bruce McPhee,Graham Ryan,Ford Cortina GT
1963,4,Tony Reynolds,Tony Allen,Valiant AP5
1963,5,Geoff Russell,John Reaburn,Ford Zephyr
1963,6,Doug Chivas,Ken Wilkinson,Morris Cooper
1963,7,Jim Gates,Mike Nedelko,Morris Cooper
1963,8,Bill Cunliffe,Barry Broomhall,Ford Cortina GT
1963,9,Harry Budd,R. Smith,Holden EH S4
1963,10,Alan Caelli,Ern Abbott,Ford Cortina 1500
1963,11,Max Volkers,K. Burns,Ford Cortina 1500
1963,12,Wal Donnelly,John Marchiori,Morris Cooper
1963,13,Des West,John Martin,Morris Cooper
1963,14,Om Harding,Adrian Yannucelli,Morris Cooper
1963,15,Ian Grant,Trevor Marden,Holden EH S4
1963,16,Frank Matich,George Murray,Renault R8
1963,17,John Connolly,Bob Draper,Renault R8
1963,18,Bob Holden,Bill March,Peugeot 404
1963,19,Bill Ford,Barry Ferguson,Volkswagen
1963,20,Don Holland,Lindsay Little,Morris Mini 850
1963,21,Brian Foley,Peter Manton,Morris Cooper
1963,22,George Reynolds,Jim McKeown,Volkswagen
1963,23,Kevin Bartlett,Bill Reynolds,Holden EH S4
1963,24,Phil McCumisky,Lex Brailey,Holden FB
1963,25,Peter Brown,Ron Marshall,Morris Cooper
1963,26,Am Andrews,Rocky Tresise,Volkswagen
1963,27,Bert Needham,Warren Weldon,Studebaker Lark
1963,28,Charlie Smith,Ron Hodgson,Morris Cooper
1963,29,Ken Brigden,Bruce Smith,Simca Aronde
1963,30,Greg Mackie,Graham White,Volkswagen
1963,31,John Alexander,Bill Stanley,Morris Mini 850
1963,32,Barry Gurdon,Jerry Trevor-Jones,Morris Elite
1963,33,Jack Murray,Alan Edney,Morris Elite
1963,34,Barry Seton,Herb Taylor,Morris Mini 850
1963,35,Warren Blomfield,Lorraine Hill,Morris Elite
1963,36,Ron Thorp,Jim White,Morris Elite
1963,37,Frank Hann,Graham Forrest,Volkswagen
1963,38,Brian Muir,Spencer Martin,Holden EH S4
1963,39,Tom Corcoran,Digby Cooke,Morris Mini 850
1963,40,Fred Sutherland,Les Park,Renault Gordini
1963,41,Barry Collerson,Les Howard,Fiat 770
1963,42,David Walker,Ron Clarke,Renault R8
1963,43,Mike Callan,Jim Bonthorne,Triumph Herald
1963,44,Kevin Nicholson,Fred Gibson,Morris Mini 850
1963,45,Bill Burns,Brian Lawler,Humber Snipe
