batter,innings,runs,balls,outs,average,strike_rate
A Bagai,518,324,518,0,inf,62.55
A Balbirnie,266,236,266,0,inf,88.72
A Codrington,72,28,72,0,inf,38.89
A Dutt,68,60,68,0,inf,88.24
A Flintoff,365,248,365,0,inf,67.95
A Flower,472,332,472,0,inf,70.34
A Kumble,47,25,47,0,inf,53.19
A Nehra,9,9,9,0,inf,100.0
A Nel,47,9,47,0,inf,19.15
A Patel,30,25,30,0,inf,83.33
A Shahzad,5,7,5,0,inf,140.0
A Symonds,561,515,561,0,inf,91.8
A Zampa,66,49,66,0,inf,74.24
AA Mulla,62,58,62,0,inf,93.55
AA Obanda,70,43,70,0,inf,61.43
AAP Atkinson,26,37,26,0,inf,142.31
AB Agarkar,27,10,27,0,inf,37.04
AB de Villiers,1047,1207,1047,0,inf,115.28
AC Botha,179,84,179,0,inf,46.93
AC Cummins,8,9,8,0,inf,112.5
AC Evans,20,10,20,0,inf,50.0
AC Gilchrist,846,861,846,0,inf,101.77
AD Hales,34,27,34,0,inf,79.41
AD Mathews,603,517,603,0,inf,85.74
AD Russell,145,192,145,0,inf,132.41
ADR Campbell,25,7,25,0,inf,28.0
AF Buurman,34,26,34,0,inf,76.47
AF Giles,33,19,33,0,inf,57.58
AF Milne,5,1,5,0,inf,20.0
AF Sattaur,63,20,63,0,inf,31.75
AG Cremer,145,99,145,0,inf,68.28
AG Prince,137,107,137,0,inf,78.1
AJ Bichel,141,117,141,0,inf,82.98
AJ Burger,204,199,204,0,inf,97.55
AJ Finch,760,717,760,0,inf,94.34
AJ Hall,49,50,49,0,inf,102.04
AJ McKay,2,0,2,0,,0.0
AJ Stewart,204,136,204,0,inf,66.67
AJ Strauss,493,417,493,0,inf,84.58
AK Markram,537,521,537,0,inf,97.02
AL Phehlukwayo,146,116,146,0,inf,79.45
AM Blignaut,91,123,91,0,inf,135.16
AM Guruge,26,14,26,0,inf,53.85
AM Rahane,259,208,259,0,inf,80.31
AM Samad,108,57,108,0,inf,52.78
AN Kervezee,182,98,182,0,inf,53.85
AO Suji,45,21,45,0,inf,46.67
AR Adams,78,90,78,0,inf,115.38
AR Berenger,115,53,115,0,inf,46.09
AR Caddick,57,25,57,0,inf,43.86
AR Cusack,129,99,129,0,inf,76.74
AR McBrine,4,2,4,0,inf,50.0
AR Nurse,26,20,26,0,inf,76.92
AR White,215,143,215,0,inf,66.51
AS Hansra,381,215,381,0,inf,56.43
AT Carey,368,375,368,0,inf,101.9
AT Nidamanuru,172,164,172,0,inf,95.35
AU Rashid,122,117,122,0,inf,95.9
AY Karim,2,0,2,0,,0.0
Abdul Razzaq,283,203,283,0,inf,71.73
Abdullah Shafique,295,278,295,0,inf,94.24
Abdur Razzak,92,44,92,0,inf,47.83
Abdur Rehman,17,6,17,0,inf,35.29
Adeel Raja,34,10,34,0,inf,29.41
Aftab Ahmed,159,128,159,0,inf,80.5
Agha Salman,45,51,45,0,inf,113.33
Ahmed Shehzad,416,271,416,0,inf,65.14
Akram Khan,102,57,102,0,inf,55.88
Al Sahariar,60,28,60,0,inf,46.67
Alok Kapali,94,48,94,0,inf,51.06
Amjad Ali,193,96,193,0,inf,49.74
Amjad Javed,203,170,203,0,inf,83.74
Anamul Haque,43,29,43,0,inf,67.44
Arafat Sunny,3,3,3,0,inf,100.0
Asad Shafiq,220,154,220,0,inf,70.0
Asif Ali,20,19,20,0,inf,95.0
Azhar Mahmood,22,2,22,0,inf,9.09
B Kumar,5,2,5,0,inf,40.0
B Lee,45,28,45,0,inf,62.22
B Zuiderent,227,100,227,0,inf,44.05
BA Murphy,11,3,11,0,inf,27.27
BA Stokes,856,775,856,0,inf,90.54
BA Westdijk,3,0,3,0,,0.0
BAW Mendis,2,0,2,0,,0.0
BB McCullum,604,700,604,0,inf,115.89
BB Seebaran,14,4,14,0,inf,28.57
BC Lara,622,507,622,0,inf,81.51
BFW de Leede,197,136,197,0,inf,69.04
BJ Haddin,500,438,500,0,inf,87.6
BJ Hodge,120,152,120,0,inf,126.67
BJ Patel,92,45,92,0,inf,48.91
BKG Mendis,431,396,431,0,inf,91.88
BL Kotze,52,27,52,0,inf,51.92
BMAJ Mendis,56,23,56,0,inf,41.07
BO van Rooi,39,26,39,0,inf,66.67
BP Kruger,12,8,12,0,inf,66.67
BP Loots,10,6,10,0,inf,60.0
BRM Taylor,798,690,798,0,inf,86.47
Babar Azam,800,675,800,0,inf,84.38
C Green,86,63,86,0,inf,73.26
C Karunaratne,28,8,28,0,inf,28.57
C Munro,106,103,106,0,inf,97.17
C White,84,79,84,0,inf,94.05
C de Grandhomme,194,190,194,0,inf,97.94
CA Ingram,43,46,43,0,inf,106.98
CAK Rajitha,53,47,53,0,inf,88.68
CB Mpofu,31,7,31,0,inf,22.58
CB Wishart,347,293,347,0,inf,84.44
CBRLS Kumara,8,4,8,0,inf,50.0
CD Collymore,24,22,24,0,inf,91.67
CD McMillan,424,353,424,0,inf,83.25
CH Gayle,1185,1060,1185,0,inf,89.45
CH Morris,63,74,63,0,inf,117.46
CJ Anderson,215,224,215,0,inf,104.19
CJ Chibhabha,227,125,227,0,inf,55.07
CJ Jordan,1,0,1,0,,0.0
CJ Smith,5,0,5,0,,0.0
CJO Smith,130,85,130,0,inf,65.38
CK Coventry,38,18,38,0,inf,47.37
CK Kapugedera,8,3,8,0,inf,37.5
CK Langeveldt,57,16,57,0,inf,28.07
CL Cairns,278,223,278,0,inf,80.22
CL Hooper,118,93,118,0,inf,78.81
CL White,115,70,115,0,inf,60.87
CM Wright,29,5,29,0,inf,17.24
CN Ackermann,236,187,236,0,inf,79.24
CO Obuya,501,349,501,0,inf,69.66
CR Brathwaite,143,140,143,0,inf,97.9
CR Ervine,453,390,453,0,inf,86.09
CR Woakes,388,345,388,0,inf,88.92
CRD Fernando,43,33,43,0,inf,76.74
CS MacLeod,61,48,61,0,inf,78.69
CT Tremlett,7,3,7,0,inf,42.86
CZ Harris,172,116,172,0,inf,67.44
D Bishoo,15,6,15,0,inf,40.0
D Joseph,27,13,27,0,inf,48.15
D Keulder,221,132,221,0,inf,59.73
D Langford-Smith,73,67,73,0,inf,91.78
D Madushanka,64,28,64,0,inf,43.75
D Mongia,211,120,211,0,inf,56.87
D Pretorius,8,3,8,0,inf,37.5
D Ramdin,246,191,246,0,inf,77.64
DA Gunawardene,67,42,67,0,inf,62.69
DA Marillier,56,41,56,0,inf,73.21
DA Miller,710,792,710,0,inf,111.55
DA Minors,64,48,64,0,inf,75.0
DA Warner,1262,1242,1262,0,inf,98.42
DB Kotze,135,82,135,0,inf,60.74
DBL Powell,55,56,55,0,inf,101.82
DC Thomas,79,41,79,0,inf,51.9
DCC Borden,79,21,79,0,inf,26.58
DD Ebrahim,127,79,127,0,inf,62.2
DF Watts,70,33,70,0,inf,47.14
DJ Bravo,201,169,201,0,inf,84.08
DJ Hussey,36,52,36,0,inf,144.44
DJ Malan,375,372,375,0,inf,99.2
DJ Mitchell,504,551,504,0,inf,109.33
DJ Reekers,34,38,34,0,inf,111.76
DJ Willey,69,78,69,0,inf,113.04
DJG Sammy,239,231,239,0,inf,96.65
DL Hemp,131,90,131,0,inf,68.7
