bowler,balls,runs_conceded,wickets,overs,average,economy
A Codrington,154,125,0,25.4,inf,4.87
A Dutt,422,365,0,70.2,inf,5.19
A Flintoff,734,409,0,122.2,inf,3.34
A Kumble,224,133,0,37.2,inf,3.56
A Nehra,569,396,0,94.5,inf,4.18
A Nel,328,203,0,54.4,inf,3.71
A Patel,66,67,0,11.0,inf,6.09
A Shahzad,115,84,0,19.1,inf,4.38
A Symonds,262,208,0,43.4,inf,4.76
A Zampa,674,624,0,112.2,inf,5.55
AA Donald,155,127,0,25.5,inf,4.92
AAP Atkinson,148,142,0,24.4,inf,5.76
AB Agarkar,176,100,0,29.2,inf,3.41
AB de Villiers,86,84,0,14.2,inf,5.86
AC Botha,411,266,0,68.3,inf,3.88
AC Cummins,117,102,0,19.3,inf,5.23
AC Evans,185,180,0,30.5,inf,5.84
AD Mathews,521,426,0,86.5,inf,4.91
AD Russell,633,532,0,105.3,inf,5.04
AF Giles,61,41,0,10.1,inf,4.03
AF Milne,185,152,0,30.5,inf,4.93
AG Cremer,282,207,0,47.0,inf,4.4
AJ Bichel,320,176,0,53.2,inf,3.3
AJ Burger,98,102,0,16.2,inf,6.24
AJ Finch,19,18,0,3.1,inf,5.68
AJ Hall,615,417,0,102.3,inf,4.07
AJ Ireland,42,38,0,7.0,inf,5.43
AJ McKay,61,31,0,10.1,inf,3.05
AK Markram,159,133,0,26.3,inf,5.02
AL Phehlukwayo,341,300,0,56.5,inf,5.28
AM Blignaut,363,234,0,60.3,inf,3.87
AM Guruge,174,133,0,29.0,inf,4.59
AM Samad,49,55,0,8.1,inf,6.73
AO Suji,144,126,0,24.0,inf,5.25
AR Adams,361,328,0,60.1,inf,5.45
AR Caddick,281,160,0,46.5,inf,3.42
AR Cusack,345,266,0,57.3,inf,4.63
AR McBrine,168,145,0,28.0,inf,5.18
AR Nurse,86,84,0,14.2,inf,5.86
AR White,139,112,0,23.1,inf,4.83
AS Hansra,145,145,0,24.1,inf,6.0
AU Rashid,918,822,0,153.0,inf,5.37
AY Karim,141,68,0,23.3,inf,2.89
Abdul Razzaq,395,271,0,65.5,inf,4.12
Abdur Razzak,747,533,0,124.3,inf,4.28
Abdur Rehman,277,188,0,46.1,inf,4.07
Adeel Raja,275,258,0,45.5,inf,5.63
Aftab Ahmed,32,37,0,5.2,inf,6.94
Agha Salman,31,45,0,5.1,inf,8.71
Alok Kapali,134,85,0,22.2,inf,3.81
Amjad Javed,300,301,0,50.0,inf,6.02
Arafat Sunny,48,42,0,8.0,inf,5.25
Azhar Mahmood,48,23,0,8.0,inf,2.88
B Kumar,352,274,0,58.4,inf,4.67
B Lee,874,580,0,145.4,inf,3.98
BA Murphy,183,136,0,30.3,inf,4.46
BA Stokes,285,230,0,47.3,inf,4.84
BA Westdijk,146,157,0,24.2,inf,6.45
BAW Mendis,258,132,0,43.0,inf,3.07
BB Seebaran,108,130,0,18.0,inf,7.22
BFW de Leede,422,467,0,70.2,inf,6.64
BJ Hodge,36,17,0,6.0,inf,2.83
BL Kotze,266,268,0,44.2,inf,6.05
BMAJ Mendis,82,72,0,13.4,inf,5.27
BO van Rooi,130,109,0,21.4,inf,5.03
BP Kruger,21,23,0,3.3,inf,6.57
BP Loots,170,199,0,28.2,inf,7.02
BRM Taylor,18,23,0,3.0,inf,7.67
C Green,12,11,0,2.0,inf,5.5
C Karunaratne,80,61,0,13.2,inf,4.58
C Munro,7,8,0,1.1,inf,6.86
C White,273,176,0,45.3,inf,3.87
C de Grandhomme,286,194,0,47.4,inf,4.07
CAK Rajitha,357,395,0,59.3,inf,6.64
CB Mpofu,356,305,0,59.2,inf,5.14
CBRLS Kumara,66,82,0,11.0,inf,7.45
CD Collymore,391,257,0,65.1,inf,3.94
CD McMillan,147,114,0,24.3,inf,4.65
CH Gayle,782,594,0,130.2,inf,4.56
CH Morris,352,322,0,58.4,inf,5.49
CJ Anderson,190,183,0,31.4,inf,5.78
CJ Chibhabha,6,11,0,1.0,inf,11.0
CJ Jordan,65,54,0,10.5,inf,4.98
CK Langeveldt,440,371,0,73.2,inf,5.06
CL Cairns,53,49,0,8.5,inf,5.55
CL Hooper,202,163,0,33.4,inf,4.84
CM Wright,84,75,0,14.0,inf,5.36
CN Ackermann,267,221,0,44.3,inf,4.97
CO Obuya,509,392,0,84.5,inf,4.62
CR Brathwaite,217,253,0,36.1,inf,7.0
CR Woakes,1007,873,0,167.5,inf,5.2
CRD Fernando,571,464,0,95.1,inf,4.88
CT Tremlett,77,82,0,12.5,inf,6.39
CZ Harris,211,128,0,35.1,inf,3.64
D Bishoo,150,106,0,25.0,inf,4.24
D Joseph,202,154,0,33.4,inf,4.57
D Langford-Smith,425,262,0,70.5,inf,3.7
D Madushanka,439,454,0,73.1,inf,6.21
D Mongia,196,132,0,32.4,inf,4.04
D Pretorius,140,92,0,23.2,inf,3.94
DA Marillier,184,129,0,30.4,inf,4.21
DB Kotze,285,253,0,47.3,inf,5.33
DBL Powell,527,368,0,87.5,inf,4.19
DCC Borden,63,68,0,10.3,inf,6.48
DJ Bravo,415,361,0,69.1,inf,5.22
DJ Hussey,54,31,0,9.0,inf,3.44
DJ Mitchell,9,12,0,1.3,inf,8.0
DJ Reekers,105,103,0,17.3,inf,5.89
DJ Willey,314,251,0,52.2,inf,4.8
DJG Sammy,446,376,0,74.2,inf,5.06
DL Hemp,13,31,0,2.1,inf,14.31
DL Vettori,1651,1121,0,275.1,inf,4.07
DLS van Bunge,92,124,0,15.2,inf,8.09
DM de Silva,350,334,0,58.2,inf,5.73
DN Wellalage,178,194,0,29.4,inf,6.54
DR Brown,92,124,0,15.2,inf,8.09
DR Martyn,24,21,0,4.0,inf,5.25
DR Smith,187,131,0,31.1,inf,4.2
DR Tuffey,135,107,0,22.3,inf,4.76
DS Lehmann,168,111,0,28.0,inf,3.96
DS Smith,5,5,0,0.5,inf,6.0
DT Hondo,306,254,0,51.0,inf,4.98
DT Johnston,576,484,0,96.0,inf,5.04
DW Steyn,705,518,0,117.3,inf,4.41
Danish Kaneria,81,90,0,13.3,inf,6.67
E Chigumbura,286,239,0,47.4,inf,5.01
E Otieno,258,264,0,43.0,inf,6.14
E Schiferli,256,215,0,42.4,inf,5.04
EC Rainsford,44,42,0,7.2,inf,5.73
