year,batter,runs,balls,outs,average,strike_rate
2003,A Bagai,56,113,0,inf,49.56
2003,A Codrington,28,72,0,inf,38.89
2003,A Flintoff,156,219,0,inf,71.23
2003,A Flower,332,472,0,inf,70.34
2003,A Kumble,25,47,0,inf,53.19
2003,A Nehra,8,4,0,inf,200.0
2003,A Patel,25,30,0,inf,83.33
2003,A Symonds,326,365,0,inf,89.32
2003,AC Gilchrist,408,402,0,inf,101.49
2003,ADR Campbell,7,25,0,inf,28.0
2003,AF Giles,19,33,0,inf,57.58
2003,AF Sattaur,20,63,0,inf,31.75
2003,AJ Bichel,117,141,0,inf,82.98
2003,AJ Burger,199,204,0,inf,97.55
2003,AJ Hall,22,11,0,inf,200.0
2003,AJ Stewart,136,204,0,inf,66.67
2003,AM Blignaut,123,91,0,inf,135.16
2003,AM Samad,12,20,0,inf,60.0
2003,AO Suji,7,16,0,inf,43.75
2003,AR Adams,90,78,0,inf,115.38
2003,AR Caddick,25,57,0,inf,43.86
2003,AY Karim,0,2,0,,0.0
2003,Abdul Razzaq,99,153,0,inf,64.71
2003,Adeel Raja,2,15,0,inf,13.33
2003,Akram Khan,57,102,0,inf,55.88
2003,Al Sahariar,28,60,0,inf,46.67
2003,Alok Kapali,48,94,0,inf,51.06
2003,B Lee,23,36,0,inf,63.89
2003,B Zuiderent,30,81,0,inf,37.04
2003,BA Murphy,3,11,0,inf,27.27
2003,BB McCullum,41,76,0,inf,53.95
2003,BB Seebaran,4,14,0,inf,28.57
2003,BC Lara,238,282,0,inf,84.4
2003,BJ Patel,45,92,0,inf,48.91
2003,BL Kotze,27,52,0,inf,51.92
2003,BO van Rooi,26,39,0,inf,66.67
2003,C White,79,84,0,inf,94.05
2003,CB Wishart,293,347,0,inf,84.44
2003,CD McMillan,125,160,0,inf,78.12
2003,CH Gayle,87,151,0,inf,57.62
2003,CL Cairns,223,278,0,inf,80.22
2003,CL Hooper,93,118,0,inf,78.81
2003,CO Obuya,75,105,0,inf,71.43
2003,CRD Fernando,30,34,0,inf,88.24
2003,CZ Harris,116,172,0,inf,67.44
2003,D Joseph,13,27,0,inf,48.15
2003,D Keulder,132,221,0,inf,59.73
2003,D Mongia,120,211,0,inf,56.87
2003,DA Gunawardene,42,67,0,inf,62.69
2003,DA Marillier,41,56,0,inf,73.21
2003,DB Kotze,82,135,0,inf,60.74
2003,DD Ebrahim,79,127,0,inf,62.2
2003,DL Vettori,36,76,0,inf,47.37
2003,DLS van Bunge,134,249,0,inf,53.82
2003,DO Obuya,7,29,0,inf,24.14
2003,DPMD Jayawardene,21,58,0,inf,36.21
2003,DR Chumney,68,112,0,inf,60.71
2003,DR Martyn,256,322,0,inf,79.5
2003,DR Tuffey,15,17,0,inf,88.24
2003,DS Lehmann,195,235,0,inf,82.98
2003,DT Hondo,3,27,0,inf,11.11
2003,E Schiferli,66,113,0,inf,58.41
2003,Ehsanul Haque,28,76,0,inf,36.84
2003,G Kirsten,186,228,0,inf,81.58
2003,G Snyman,5,9,0,inf,55.56
2003,GB Hogg,42,62,0,inf,67.74
