match_file,date,team1,team2,winner,margin,venue
65285.yaml,2003-03-20,India,Kenya,India,91 runs,"Kingsmead, Durban"
247465.yaml,2007-03-17,Ireland,Pakistan,Ireland,3 wickets,"Sabina Park, Kingston"
1384427.yaml,2023-11-04,Australia,England,Australia,33 runs,"Narendra Modi Stadium, Ahmedabad"
1384431.yaml,2023-11-08,England,Netherlands,England,160 runs,"Maharashtra Cricket Association Stadium, Pune"
247473.yaml,2007-03-21,Pakistan,Zimbabwe,Pakistan,93 runs,"Sabina Park, Kingston"
433586.yaml,2011-03-12,India,South Africa,South Africa,3 wickets,"Vidarbha Cricket Association Stadium, Jamtha"
65250.yaml,2003-02-19,India,Zimbabwe,India,83 runs,Harare Sports Club
433569.yaml,2011-02-28,Netherlands,West Indies,West Indies,215 runs,Feroz Shah Kotla
656477.yaml,2015-03-14,Australia,Scotland,Australia,7 wickets,Bellerive Oval
1144520.yaml,2019-06-30,England,India,England,31 runs,Edgbaston
433590.yaml,2011-03-14,Bangladesh,Netherlands,Bangladesh,6 wickets,Zahur Ahmed Chowdhury Stadium
65246.yaml,2003-02-16,Netherlands,England,England,6 wickets,"Buffalo Park, East London"
656461.yaml,2015-03-08,Australia,Sri Lanka,Australia,64 runs,Sydney Cricket Ground
433601.yaml,2011-03-24,India,Australia,India,5 wickets,"Sardar Patel Stadium, Motera"
1144516.yaml,2019-06-27,India,West Indies,India,125 runs,Old Trafford
656441.yaml,2015-03-01,England,Sri Lanka,Sri Lanka,9 wickets,Westpac Stadium
65266.yaml,2003-02-28,Sri Lanka,West Indies,Sri Lanka,6 runs,"Newlands, Cape Town"
247486.yaml,2007-04-01,West Indies,Sri Lanka,Sri Lanka,113 runs,Providence Stadium
247469.yaml,2007-03-19,West Indies,Zimbabwe,West Indies,6 wickets,"Sabina Park, Kingston"
247490.yaml,2007-04-07,Bangladesh,South Africa,Bangladesh,67 runs,Providence Stadium
656457.yaml,2015-03-07,Ireland,Zimbabwe,Ireland,5 runs,Bellerive Oval
65270.yaml,2003-03-03,Canada,New Zealand,New Zealand,5 wickets,"Willowmoore Park, Benoni"
1384411.yaml,2023-10-21,South Africa,England,South Africa,229 runs,"Wankhede Stadium, Mumbai"
433565.yaml,2011-02-25,Australia,New Zealand,Australia,7 wickets,"Vidarbha Cricket Association Stadium, Jamtha"
1144490.yaml,2019-06-05,India,South Africa,India,6 wickets,The Rose Bowl
433573.yaml,2011-03-03,Netherlands,South Africa,South Africa,231 runs,"Punjab Cricket Association Stadium, Mohali"
247500.yaml,2007-04-17,England,South Africa,South Africa,9 wickets,"Kensington Oval, Bridgetown"
1384406.yaml,2023-10-17,Netherlands,South Africa,Netherlands,38 runs,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
247501.yaml,2007-04-18,Ireland,Sri Lanka,Sri Lanka,8 wickets,"National Cricket Stadium, St George's"
433572.yaml,2011-03-02,England,Ireland,Ireland,3 wickets,M Chinnaswamy Stadium
1144491.yaml,2019-06-05,Bangladesh,New Zealand,New Zealand,2 wickets,Kennington Oval
656483.yaml,2015-03-18,South Africa,Sri Lanka,South Africa,9 wickets,Sydney Cricket Ground
433564.yaml,2011-02-24,South Africa,West Indies,South Africa,7 wickets,Feroz Shah Kotla
656495.yaml,2015-03-29,Australia,New Zealand,Australia,7 wickets,Melbourne Cricket Ground
1144487.yaml,2019-06-02,Bangladesh,South Africa,Bangladesh,21 runs,Kennington Oval
1384410.yaml,2023-10-21,Netherlands,Sri Lanka,Sri Lanka,5 wickets,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
65271.yaml,2003-03-03,Netherlands,Namibia,Netherlands,64 runs,"Goodyear Park, Bloemfontein"
1144501.yaml,2019-06-14,England,West Indies,England,8 wickets,The Rose Bowl
247491.yaml,2007-04-08,Australia,England,Australia,7 wickets,"Sir Vivian Richards Stadium, North Sound"
656401.yaml,2015-02-14,Australia,England,Australia,111 runs,Melbourne Cricket Ground
247487.yaml,2007-04-02,Bangladesh,New Zealand,New Zealand,9 wickets,"Sir Vivian Richards Stadium, North Sound"
656417.yaml,2015-02-21,Pakistan,West Indies,West Indies,150 runs,Hagley Oval
247468.yaml,2007-03-19,Bermuda,India,India,257 runs,"Queen's Park Oval, Port of Spain"
65267.yaml,2003-03-01,Kenya,Bangladesh,Kenya,32 runs,"New Wanderers Stadium, Johannesburg"
1144517.yaml,2019-06-28,South Africa,Sri Lanka,South Africa,9 wickets,Riverside Ground
656437.yaml,2015-02-28,New Zealand,Australia,New Zealand,1 wickets,Eden Park
433600.yaml,2011-03-23,Pakistan,West Indies,Pakistan,10 wickets,Shere Bangla National Stadium
433591.yaml,2011-03-15,Ireland,South Africa,South Africa,131 runs,Eden Gardens
65247.yaml,2003-02-16,Pakistan,Namibia,Pakistan,171 runs,"De Beers Diamond Oval, Kimberley"
1144521.yaml,2019-07-01,Sri Lanka,West Indies,Sri Lanka,23 runs,Riverside Ground
433587.yaml,2011-03-13,Canada,New Zealand,New Zealand,97 runs,Wankhede Stadium
65251.yaml,2003-02-19,Canada,Sri Lanka,Sri Lanka,9 wickets,"Boland Bank Park, Paarl"
433568.yaml,2011-02-27,India,England,,,M Chinnaswamy Stadium
247472.yaml,2007-03-21,Bangladesh,Sri Lanka,Sri Lanka,198 runs,"Queen's Park Oval, Port of Spain"
247464.yaml,2007-03-17,Bangladesh,India,Bangladesh,5 wickets,"Queen's Park Oval, Port of Spain"
1384426.yaml,2023-11-04,New Zealand,Pakistan,Pakistan,21 runs,"M Chinnaswamy Stadium, Bengaluru"
65284.yaml,2003-03-18,Australia,Sri Lanka,Australia,48 runs,"St George's Park, Port Elizabeth"
656447.yaml,2015-03-04,Pakistan,United Arab Emirates,Pakistan,129 runs,McLean Park
65260.yaml,2003-02-25,Pakistan,Netherlands,Pakistan,97 runs,"Boland Bank Park, Paarl"
433559.yaml,2011-02-20,Kenya,New Zealand,New Zealand,10 wickets,"MA Chidambaram Stadium, Chepauk"
247480.yaml,2007-03-25,Bangladesh,Bermuda,Bangladesh,7 wickets,"Queen's Park Oval, Port of Spain"
65237.yaml,2003-02-10,Sri Lanka,New Zealand,Sri Lanka,47 runs,"Goodyear Park, Bloemfontein"
247496.yaml,2007-04-13,Australia,Ireland,Australia,9 wickets,"Kensington Oval, Bridgetown"
247479.yaml,2007-03-24,England,Kenya,England,7 wickets,"Beausejour Stadium, Gros Islet"
656451.yaml,2015-03-05,Bangladesh,Scotland,Bangladesh,6 wickets,Saxton Oval
65276.yaml,2003-03-07,Kenya,India,India,6 wickets,"Newlands, Cape Town"
1384417.yaml,2023-10-27,Pakistan,South Africa,South Africa,1 wickets,"MA Chidambaram Stadium, Chepauk, Chennai"
433563.yaml,2011-02-23,Kenya,Pakistan,Pakistan,205 runs,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
1144496.yaml,2019-06-09,Australia,India,India,36 runs,Kennington Oval
433575.yaml,2011-03-04,New Zealand,Zimbabwe,New Zealand,10 wickets,"Sardar Patel Stadium, Motera"
1384401.yaml,2023-10-12,South Africa,Australia,South Africa,134 runs,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
247506.yaml,2007-04-25,Australia,South Africa,Australia,7 wickets,"Beausejour Stadium, Gros Islet"
1384397.yaml,2023-10-09,New Zealand,Netherlands,New Zealand,99 runs,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
65283.yaml,2003-03-15,Kenya,Australia,Australia,5 wickets,"Kingsmead, Durban"
247463.yaml,2007-03-16,England,New Zealand,New Zealand,6 wickets,"Beausejour Stadium, Gros Islet"
1384437.yaml,2023-11-15,India,New Zealand,India,70 runs,"Wankhede Stadium, Mumbai"
247475.yaml,2007-03-22,Canada,New Zealand,New Zealand,114 runs,"Beausejour Stadium, Gros Islet"
433580.yaml,2011-03-07,Canada,Kenya,Canada,5 wickets,Feroz Shah Kotla
