jockey,first win,first stakes win,first g1 win
Aaron Bullock,Tee Gee - Muswellbrook - 5/6/2007,,
Adam Hyeronimus,Innocenttassie - Grafton - 13/6/2008,Zara Dancer - LR Frank Underwood Cup - 26/11/2011,Shout The Bar - Vinery Stud Stakes - 28/3/2020
Adam Sewell,Ransom Moment - Bingara - 1/2/2014,,
Adam Spinks,Our Hussler - Mackay - 3/11/2015,,
Adin Thompson,Fab's Cowboy - 19/12/2017,Hail Manhattan - LR Members' Cup - 27/2/2021,
Akira Sugawara,Red Anela - Nakayama - 31/3/2019,Karate - G3 Tokyo Shimbun Hai - 7/2/2022,Blow The Horn - Takarazuka Kinen - 23/7/2024
Alan Kennedy,Island Force - York - 23/3/2006,Ma Ma Machine - LR Beaufine Stakes - 25/7/2009,
Alana Kelly,Under Our Spell - Ballarat - 25/10/2018,Point Nepean - LR The Andrew Ramsden - 14/5/2022,
Alana Livesey,Caldwell - Kingscote - 23/1/2021,,
Alisha Donald,Annmarie - Bowen - 5/6/2021,,
Alysha Collett,Flavour Flav - Matamata (NZ) - 30/7/2010,Duckworth Lewis - G3 Sparkling Stakes - 1/11/2011,Consensus - Zabeel Classic (NZ)- 26/12/2016
Alysha Warren,Lace And Whickey - Narrogin - 17/6/2023,,
Amanda Thomson,Pincer Strike - Atherton - 4/6/2016,,
Amy Herrmann,Byzant - Penola - 26/3/2006,Dashitude - LR Dequetteville Stakes - 28/4/2012,
Amy McLucas,Atomic Blast - Moruya - 3/9/2019,,
Andrew Adkins,Red Almighty - Port Macquarie - 12/4/2014,In Her Time - LR Breeders' Classic - 4/2/2017,Daysee Doom - Coolmore Classic - 17/3/2018
Andrew Banks,Happy Flight - Trangie - 24/02/2001,,
Andrew Calder,Where'smydad - Foxton (NZ) - 6/5/1999,,Deebee Belle - NZ Stakes (NZ) 1/3/2003
Andrew Gibbons,Andy Handout - 17/12/1994,Jerezana - LR Ramornie H'cap - 13/7/2011,
Andrew Mallyon,The Mooksta - Hay - 27/11/2004,Liquidation - LR Placid Ark Stakes - 22/11/2008,
Andrew Stead,Banc O' Gold - Naracoorte -  11/11/2001,Nevue - G3 SA Sires' Produce Stakes - 18/7/2026,
Angela Johnston,Pelican Pick - Laverton - 24/10/2020,,
Angela Jones,Miss Charlee Lyn - Dalby - 31/10/2020 ** first ride,Zarastro - Recognition Stakes - 25/11/2023,
Angus Villiers,Motajaasid - Lingfield (GB) - 23/5/2019,,
Anna Bakos,Yeezy - Charleville - 4/5/2019,,
Anna Jordsjo,Jimmy Royale - Murray Bridge - 24/8/2016,Mileva - LR Manihi Classic - 27/3/2021,
Anna Roper,Alpha Go - Gungagai - 3/4/2022 ** first ride,,
Anthony Allen,Red Lightning - Murwillumbah - 25/4/2010,Love Rocks - LR Lough Neagh Stakes - 21/12/2013,
Anthony Cavallo,,Spirited Way - G3 Silver Shadow Stakes - 19/8/1989,
Arron Lynch,Rhythm And Melody - Alice Springs - 9/2/2008,,
Ashleigh Stanley,Dungannon - Warren - 17/3/2018,,
Ashley Butler,Haggis - Yeppoon - 10/11/2008,,
