year,all star mvp,dpoy,sixth man,finals mvp,mvp,roty
1950-51,Ed Macauley,,,,,
1951-52,Paul Arizin,,,,,
1952-53,George Mikan,,,,,Don Meineke
1953-54,Bob Cousy,,,,,Ray Felix
1954-55,Bill Sharman,,,,,Bob Pettit
1955-56,Bob Pettit,,,,Bob Pettit,Maurice Stokes
1956-57,Bob Cousy,,,,Bob Cousy,Tom Heinsohn
1957-58,Bob Pettit,,,,Bill Russell,Woody Sauldsberry
1958-59,Elgin Baylor,,,,Bob Pettit,Elgin Baylor
1958-59,Bob Pettit,,,,,
1959-60,Wilt Chamberlain,,,,Wilt Chamberlain,Wilt Chamberlain
1960-61,Oscar Robertson,,,,Bill Russell,Oscar Robertson
1961-62,Bob Pettit,,,,Bill Russell,Walt Bellamy
1962-63,Bill Russell,,,,Bill Russell,Terry Dischinger
1963-64,Oscar Robertson,,,,Oscar Robertson,Jerry Lucas
1964-65,Jerry Lucas,,,,Bill Russell,Willis Reed
1965-66,Adrian Smith,,,,Wilt Chamberlain,Rick Barry
1966–67,Rick Barry,,,,Wilt Chamberlain,Dave Bing
1967–68,Hal Greer,,,,Wilt Chamberlain,Earl Monroe
1968–69,Oscar Robertson,,,Jerry West,Wes Unseld,Wes Unseld
1969–70,Willis Reed,,,Willis Reed,Willis Reed,Kareem Abdul-Jabbar
1970–71,Lenny Wilkens,,,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Dave Cowens
1970–71,,,,,,Geoff Petrie
1971–72,Jerry West,,,Wilt Chamberlain,Kareem Abdul-Jabbar,Sidney Wicks
1972–73,Dave Cowens,,,Willis Reed,Dave Cowens,Bob McAdoo
1973–74,Bob Lanier,,,John Havlicek,Kareem Abdul-Jabbar,Ernie DiGregorio
1974–75,Walt Frazier,,,Rick Barry,Bob McAdoo,Jamaal Wilkes
1975–76,Dave Bing,,,Jo Jo White,Kareem Abdul-Jabbar,Alvan Adams
1976–77,Julius Erving,,,Bill Walton,Kareem Abdul-Jabbar,Adrian Dantley
1977–78,Randy Smith,,,Wes Unseld,Bill Walton,Walter Davis
1978–79,David Thompson,,,Dennis Johnson,Moses Malone,Phil Ford
1979–80,George Gervin,,,Magic Johnson,Kareem Abdul-Jabbar,Larry Bird
1980–81,Nate Archibald,,,Cedric Maxwell,Julius Erving,Darrell Griffith
1981–82,Larry Bird,,,Magic Johnson,Moses Malone,Buck Williams
1982-83,Julius Erving,Sidney Moncrief,Bobby Jones,Moses Malone,Moses Malone,Terry Cummings
1983-84,Isiah Thomas,Sidney Moncrief,Kevin McHale,Larry Bird,Larry Bird,Ralph Sampson
1984-85,Ralph Sampson,Mark Eaton,Kevin McHale,Kareem Abdul-Jabbar,Larry Bird,Michael Jordan
1985-86,Isiah Thomas,Alvin Robertson,Bill Walton,Larry Bird,Larry Bird,Patrick Ewing
1986-87,Tom Chambers,Michael Cooper,Ricky Pierce,Magic Johnson,Magic Johnson,Chuck Person
1987-88,Michael Jordan,Michael Jordan,Roy Tarpley,James Worthy,Michael Jordan,Mark Jackson
1988-89,Karl Malone,Mark Eaton,Eddie Johnson,Joe Dumars,Magic Johnson,Mitch Richmond
1989-90,Magic Johnson,Dennis Rodman,Ricky Pierce,Isiah Thomas,Magic Johnson,David Robinson
1990-91,Charles Barkley,Dennis Rodman,Detlef Schrempf,Michael Jordan,Michael Jordan,Derrick Coleman
1991-92,Magic Johnson,David Robinson,Detlef Schrempf,Michael Jordan,Michael Jordan,Larry Johnson
1992-93,John Stockton,Hakeem Olajuwon,Clifford Robinson,Michael Jordan,Charles Barkley,Shaquille O'Neal
1992-93,Karl Malone,,,,,
1994-94,Scottie Pippen,Hakeem Olajuwon,Dell Curry,Hakeem Olajuwon,Hakeem Olajuwon,Chris Webber
1994-95,Mitch Richmond,Dikembe Mutombo,Anthony Mason,Hakeem Olajuwon,David Robinson,Grant Hill
1994-95,,,,,,Jason Kidd
1995-96,Michael Jordan,Gary Payton,Toni Kukoč,Michael Jordan,Michael Jordan,Damon Stoudamire
1996-97,Glen Rice,Dikembe Mutombo,John Starks,Michael Jordan,Karl Malone,Allen Iverson
1997-98,Michael Jordan,Dikembe Mutombo,Danny Manning,Michael Jordan,Michael Jordan,Tim Duncan
1998-99,,Alonzo Mourning,Darrell Armstrong,Tim Duncan,Karl Malone,Vince Carter
1999/2000,Shaquille O'Neal,Alonzo Mourning,Rodney Rogers,Shaquille O'Neal,Shaquille O'Neal,Elton Brand
1999/2000,Tim Duncan,,,,,Steve Francis
2000-01,Allen Iverson,Dikembe Mutombo,Aaron McKie,Shaquille O'Neal,Allen Iverson,Mike Miller
2001-02,Kobe Bryant,Ben Wallace,Corliss Williamson,Shaquille O'Neal,Tim Duncan,Pau Gasol
2002-03,Kevin Garnett,Ben Wallace,Bobby Jackson,Tim Duncan,Tim Duncan,Amare Stoudemire
2003-04,Shaquille O'Neal,Ron Artest,Antawn Jamison,Chauncey Billups,Kevin Garnett,LeBron James
2004-05,Allen Iverson,Ben Wallace,Ben Gordon,Tim Duncan,Steve Nash,Emeka Okafor
2005-06,LeBron James,Ben Wallace,Mike Miller,Dwyane Wade,Steve Nash,Chris Paul†
