year,player,team
1998,Andrew Johns, Newcastle Knights
1999,Andrew Johns, Newcastle Knights
2000,Trent Barrett, St George Illawarra Dragons
2001,Preston Campbell, Cronulla-Sutherland Sharks
2002,Andrew Johns, Newcastle Knights
2004,Danny Buderus, Newcastle Knights
2005,Johnathan Thurston, North Queensland Cowboys
2006,Cameron Smith, Melbourne Storm
2007,Johnathan Thurston, North Queensland Cowboys
2008,Matt Orford, Manly Warringah Sea Eagles
2009,Jarryd Hayne, Parramatta Eels
2010,Todd Carney, Sydney Roosters
2011,Billy Slater, Melbourne Storm
2012,Ben Barba, Canterbury-Bankstown Bulldogs
2013,Cooper Cronk, Melbourne Storm
2014,Jarryd Hayne, Parramatta Eels
2014,Johnathan Thurston, North Queensland Cowboys
2015,Johnathan Thurston, North Queensland Cowboys
2016,Cooper Cronk, Melbourne Storm
2016,Jason Taumalolo, North Queensland Cowboys
2017,Cameron Smith, Melbourne Storm
2018,Roger Tuivasa-Sheck, New Zealand Warriors
2019,James Tedesco, Sydney Roosters
2020,Jack Wighton, Canberra Raiders
2021,Tom Trbojevic, Manly Warringah Sea Eagles
2022,Nicho Hynes, Cronulla-Sutherland Sharks
2023,Kalyn Ponga, Newcastle Knights
2024,Jahrome Hughes, Melbourne Storm

2025,James Tedesco, Sydney Roosters
