year,premier,runners up,minor premier
1998, Brisbane Broncos, Canterbury Bulldogs, Brisbane Broncos 
1999, Melbourne Storm, St. George Illawarra Dragons, Cronulla-Sutherland Sharks
2000, Brisbane Broncos, Sydney Roosters, Brisbane Broncos
2001, Newcastle Knights, Parramatta Eels, Parramatta Eels
2002, Sydney Roosters, New Zealand Warriors, New Zealand Warriors
2003, Penrith Panthers, Sydney Roosters, Penrith Panthers
2004, Canterbury-Bankstown Bulldogs, Sydney Roosters, Sydney Roosters
2005, Wests Tigers, North Queensland Cowboys, Parramatta Eels
2006, Brisbane Broncos, Melbourne Storm, Melbourne Storm a
2007, Melbourne Storm a, Manly Warringah Sea Eagles, Melbourne Storm a
2008, Manly Warringah Sea Eagles, Melbourne Storm, Melbourne Storm a
2009, Melbourne Storm a, Parramatta Eels, St. George Illawarra Dragons
2010, St. George Illawarra Dragons, Sydney Roosters, St. George Illawarra Dragons
2011, Manly Warringah Sea Eagles, New Zealand Warriors, Melbourne Storm
2012, Melbourne Storm, Canterbury-Bankstown Bulldogs, Canterbury-Bankstown Bulldogs
2013, Sydney Roosters, Manly Warringah Sea Eagles, Sydney Roosters
2014, South Sydney Rabbitohs, Canterbury-Bankstown Bulldogs, Sydney Roosters
2015, North Queensland Cowboys, Brisbane Broncos, Sydney Roosters
2016, Cronulla Sharks, Melbourne Storm, Melbourne Storm
2017, Melbourne Storm, North Queensland Cowboys, Melbourne Storm
2018, Sydney Roosters, Melbourne Storm, Sydney Roosters
2019, Sydney Roosters, Canberra Raiders, Melbourne Storm
2020, Melbourne Storm, Penrith Panthers, Penrith Panthers
2021, Penrith Panthers, South Sydney Rabbitohs, Melbourne Storm
2022, Penrith Panthers, Parramatta Eels, Penrith Panthers
2023, Penrith Panthers, Brisbane Broncos, Penrith Panthers
2024, Penrith Panthers, Melbourne Storm, Melbourne Storm
2025, Brisbane Broncos, Melbourne Storm, Canberra Raiders
