match_file,date,venue,team,batter,bowler,runs,dismissal,fielder
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,MA Suji,2,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,MA Suji,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,MA Suji,2,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,MA Suji,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,MA Suji,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,MA Suji,1,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,4,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,MA Suji,2,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,MA Suji,2,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,MA Suji,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,MA Suji,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,MA Suji,1,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,MA Suji,4,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,TM Odoyo,2,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,MA Suji,3,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,MA Suji,1,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,MA Suji,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,MA Suji,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,MA Suji,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,MA Suji,2,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,TM Odoyo,1,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,2,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,MA Suji,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,MA Suji,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,MA Suji,4,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,MA Suji,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,MA Suji,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,MA Suji,1,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,TM Odoyo,1,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,2,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,PJ Ongondo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,PJ Ongondo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,PJ Ongondo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,PJ Ongondo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,PJ Ongondo,2,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,PJ Ongondo,2,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,PJ Ongondo,1,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,PJ Ongondo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,PJ Ongondo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,PJ Ongondo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,PJ Ongondo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,PJ Ongondo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,TM Odoyo,1,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,TM Odoyo,4,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,PJ Ongondo,4,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,PJ Ongondo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,PJ Ongondo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,PJ Ongondo,1,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,PJ Ongondo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,PJ Ongondo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,MA Suji,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,MA Suji,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,MA Suji,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,MA Suji,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,MA Suji,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,MA Suji,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,PJ Ongondo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,PJ Ongondo,1,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,PJ Ongondo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,PJ Ongondo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,PJ Ongondo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,PJ Ongondo,1,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,AY Karim,4,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,AY Karim,1,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,AY Karim,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,AY Karim,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,AY Karim,1,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,AY Karim,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,PJ Ongondo,1,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,SR Tendulkar,PJ Ongondo,1,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,PJ Ongondo,0,,
65285.yaml,2003-03-20,"Kingsmead, Durban",1st innings,V Sehwag,PJ Ongondo,1,,
