COUNTRY,YEAR,RACE NAME,COURSE,RACE GRADE,DISTANCE,WINNER,JOCKEY,TRAINER,
Germany,1834,Union-Rennen,Grunewald,G2,1m 3f,Alba,Lewin,,
Germany,1835,Union-Rennen,Grunewald,G2,1m 3f,Remus,May,,
Germany,1836,Union-Rennen,Grunewald,G2,1m 3f,Donna Maria,Stinton,,
Germany,1837,Union-Rennen,Grunewald,G2,1m 3f,Mozart,Collison,,
Germany,1838,Union-Rennen,Grunewald,G2,1m 3f,My Lady,Hart,,
Germany,1839,Union-Rennen,Grunewald,G2,1m 3f,Mandarin,Lewin,,
Germany,1840,Union-Rennen,Grunewald,G2,1m 3f,Kipfelnose,Lewis,,
Germany,1841,Union-Rennen,Grunewald,G2,1m 3f,Prince Regent,Crouch,,
Germany,1842,Union-Rennen,Grunewald,G2,1m 3f,Banquo,Perkins,,
Germany,1843,Union-Rennen,Grunewald,G2,1m 3f,Madeline,Perkins,,
Germany,1844,Union-Rennen,Grunewald,G2,1m 3f,John Bull,Perkins,,
Germany,1845,Union-Rennen,Grunewald,G2,1m 3f,Minotaurus,Collison,,
Germany,1846,Union-Rennen,Grunewald,G2,1m 3f,Dolores,Collison,,
Germany,1847,Union-Rennen,Grunewald,G2,1m 3f,Whatstone,Bloss,,
Germany,1848,Union-Rennen,Grunewald,G2,1m 3f,Meridian,Collison,,
Germany,1849,Union-Rennen,Grunewald,G2,1m 3f,Achaja,Collison,,
Germany,1850,Union-Rennen,Grunewald,G2,1m 3f,Black Prince,Perkins,,
Germany,1851,Union-Rennen,Grunewald,G2,1m 3f,Lionel,Birbeck,,
Germany,1852,Union-Rennen,Grunewald,G2,1m 3f,California,Birbeck,,
Germany,1853,Union-Rennen,Grunewald,G2,1m 3f,Uriel,Birbeck,,
Germany,1854,Union-Rennen,Grunewald,G2,1m 3f,Koh-i-Noor,Crouch,,
Germany,1855,Union-Rennen,Grunewald,G2,1m 3f,Carabas,Perkins,,
Germany,1856,Union-Rennen,Grunewald,G2,1m 3f,My Hope,Sharp,,
Germany,1857,Preis der Diana,Düsseldorf,Listed,1m 3f,Sinope,Sharp,,
Germany,1857,Union-Rennen,Grunewald,G2,1m 3f,Verzug,Crouch,,
Germany,1858,Preis der Diana,Düsseldorf,Listed,1m 3f,Lavant,Bearpark,,
Germany,1858,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,La Maladetta,G Pratt,,
Germany,1858,Union-Rennen,Grunewald,G2,1m 3f,Pizarro,Bloss,,
Germany,1859,Preis der Diana,Düsseldorf,Listed,1m 3f,Isabella,Phillips,,
Germany,1859,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Geologie,A Watkins,,
Germany,1859,Union-Rennen,Grunewald,G2,1m 3f,Collingwood,O'Connor,,
Germany,1860,Preis der Diana,Düsseldorf,Listed,1m 3f,Margarethe,Perkins,,
Germany,1860,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Capucine,Spreoty,,
Germany,1860,Union-Rennen,Grunewald,G2,1m 3f,Emilius,Bearpark,,
Germany,1861,Preis der Diana,Düsseldorf,Listed,1m 3f,Doloritha,Little,,
Germany,1861,Grosser Preis von Baden,Baden-Baden,G1,1m 4f,Mon Etoile,Spreoty,,
Germany,1861,Union-Rennen,Grunewald,G2,1m 3f,Rookeby,Blohm,,
