date,year,sport,event
Jan-01,1838,Horse Racing,First official horse race in South Australia takes place in Adelaide
Jan-01,1902,Football,"1st Rose Bowl, Tournament Park, Pasadena, California: Michigan defeats Stanford 49-0"
Jan-01,1943,Ice Hockey,"The Bentley brother of The Chicago Blackhawks become the first trio of brothers to play together in an NHL game; Max, Doug, and Reggie, appear for the Blackhawks in a 6-5 win over the New York Rangers at Chicago Stadium"
Jan-01,1949,Cricket,Don Bradman is knighted
Jan-01,1965,Soccer,former England international soccer forward Stanley Matthews is the only player to be awarded a knighthood while still playing for Stoke City
Jan-02,1865,Boxing,"Welterweight Con Orem and heavyweight Hugh O'Neill brawl for 185 rounds before darkness ends the legendary bare-knuckle boxing match in Virginia City, Montana"
Jan-02,1959,Cricket,"Birthday of legendary West Indian batsman Desmond Haynes, who scored 7,487 Test runs and formed one of cricket's great opening partnerships with Gordon Greenidge"
Jan-02,1966,NFL,"first NFL title game televised in colour;  NFL Championship, Lambeau Field, Green Bay: Green Bay Packers beat Cleveland Browns, 23-12"
Jan-03,1929,Cricket,"Don Bradman scores first Test century, making 112"
Jan-03,1943,Ice Hockey,Max and Doug Bentley assist on brother Reg's only NHL goal in the Chicago Blackhawks' 3-3 tie with the Rangers in NYC; the only time in NHL history a trio of family members scores and assists on a scoring play
Jan-03,1963,Cricket,"Birthday of New Zealand all-rounder Martin Crowe, widely regarded as the greatest batsman New Zealand has produced, who scored 5,444 Test runs"
Jan-03,1978,Cricket,Indian spinner B. S. Chandrasekhar becomes the first bowler in Test history to register identical figures in both innings (6 for 52)
Jan-03,1997,Cricket,"Zimbabwe cricket fast bowler Eddo Brandes takes ODI hat-trick as home team scores another upset against England, winning by 131 runs and sweeping series, 3-0 in Harare"
Jan-03,2016,Basketball,"Jimmy Butler breaks Michael Jordan's Chicago Bulls record for points in an NBA half, scoring 40 of his 42 points in the second half"
Jan-04,1904,Ice Hockey,"Stanley Cup, Aberdeen Pavilion, Ottawa, Ontario: Ottawa HC beats Winnipeg Rowing Club, 2-0 for 2-1 challenge series victory"
Jan-04,1977,Baseball,Mary Shane is hired by the Chicago White Sox as the first full-time woman play-by-play broadcaster
Jan-05,1971,Basketball,"Harlem Globetrotters lose 100-99 to NJ Reds, ending 2,495-game winning streak"
Jan-06,1984,Cricket,"Last day of Test cricket for Greg Chappell, Rodney Marsh and DennisLillee"
Jan-06,2016,Soccer,Lionel Messi (Barcelona/Argentina) wins his 5th Ballon d'Or
Jan-07,1910,Ice Hockey,"Stanley Cup, Dey's Arena, Ottawa, ON: Ottawa Senators beat Galt (ON), 3-1 for a 2-0 sweep of challenge series"
Jan-07,1927,Basketball,"Harlem Globetrotters play their 1st game in Hinckley, Illinois"
Jan-07,1995,Basketball,"Larry Brown posts his 500th career NBA coaching victory, following the Indiana Pacers' 88-83 road win at the Houston Rockets"
Jan-07,2013,Soccer,Lionel Messi (Barcelona/Argentina) wins his 4th Ballon d'Or
Jan-08,1956,AFL,"Birthday of AFL legend Ron Barassi Jr — note: Ron Barassi Sr birthday. Birthday of AFL great Gary Ablett Sr, who kicked 1,031 goals in a brilliant VFL/AFL career and is considered one of the game's greatest forwards"
Jan-09,1811,Golf,"First Women's Golf Tournament is held in Musselburgh, Scotland"
Jan-09,1947,Soccer,"Birthday of Brazilian football legend Rivelino, a key member of the famous 1970 World Cup-winning Brazil team known for his powerful left foot and spectacular free kicks"
Jan-09,2012,Soccer,Lionel Messi (Barcelona/Argentina) wins his 3rd Ballon d'Or
Jan-10,1930,Cricket,"New Zealand's 1st game of Test cricket is held Lancaster Park, Christchurch, NZ. Englishman Maurice Allom takes a Test hat-trick."
Jan-10,2011,Soccer,Lionel Messi (Barcelona/Argentina) wins his 2nd Ballon d'Or
Jan-11,1970,NFL,"Super Bowl IV, Tulane Stadium, New Orleans, LA: KC Chiefs beat Minnesota Vikings, 23-7"
Jan-11,1984,Basketball,"Denver Nuggets defeat San Antonio Spurs 163-155, highest-scoring non-overtime NBA game in history at the time"
Jan-12,1960,Basketball,"Syracuse National Dolph Schayes is the 1st NBA player to score 15,000 points"
Jan-12,1975,NFL,"Super Bowl IX, Tulane Stadium, New Orleans, LA: Pittsburgh Steelers beat Minnesota Vikings, 16-6"
Jan-12,1992,Basketball,Troy State Trojans defeat DeVry Hoyas 258-149 in the highest scoring NCAA basketball game ever
Jan-12,2013,Baseball,"The ""Mile High Miracle"" game, Denver Broncos ahead of Baltimore Ravens 35-28 with 1:09 remaining, quarterback Joe Flacco heaves 70 yard touchdown pass to receiver Jacoby Jones to tie the game. Ravens win in overtime."
Jan-12,2015,Soccer,Cristiano Ronaldo (Real Madrid/Portugal) wins his third Ballon d'Or
Jan-13,1908,Ice Hockey,"Stanley Cup, Montreal Arena, Westmount, Quebec: Montreal Wanderers rout Ottawa Victorias, 13-1 for 2-0 sweep of challenge series"
Jan-13,1911,Cricket,"South Africa cricket team records their 1st win over Australia, at Adelaide"
Jan-13,1974,NFL,"Super Bowl VIII, Rice Stadium, Houston, TX: Miami Dolphins beat Minnesota Vikings, 24-7"
Jan-13,2014,Soccer,Cristiano Ronaldo (Real Madrid/Portugal) wins his second Ballon d'Or
Jan-13,2023,Basketball,an NBA regular season record of 68323 at Alamadone see Golden State defeat San Antonio 144 - 113
Jan-14,1898,Cricket,Australian cricketer Joe Darling hits the first six in Test cricket
Jan-14,1973,NFL,"Super Bowl VII, LA Memorial Coliseum, Los Angeles, CA: Miami Dolphins beat Washington Redskins, 14-7"
Jan-15,1967,NFL,"Super Bowl I, LA Memorial Coliseum, Los Angeles, CA: Green Bay Packers beat KC Chiefs, 35-10"
